Column Name,Definition,Label
Total Participants - N,The total number of participants included in the clinical trial.,Total Participants - N
Treatment Arm - N,The number of participants included in the experimental arm of the clinical trial.,Treatment Arm - N
Control Arm - N,The number of participants included in the control arm of the clinical trial.,Control Arm - N
Median Follow-Up Duration (mo),"The median length of time, measured in months, that participants in the clinical trial were followed up or monitored after the start of the trial.",Median Follow-Up Duration (mo)
Median On-Treatment Duration (mo) | Treatment,Median duration in months that participants in the treatment arm of the trial received on-treatment therapy.,Median On-Treatment Duration (mo)
Median On-Treatment Duration (mo) | Control,Median duration in months of participants receiving treatment in the control arm of the clinical trial.,Median On-Treatment Duration (mo)
Mode of metastases - N (%) | Synchronous | Treatment,The number and percentage of participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the treatment arm of the clinical trial.,Mode of metastases - N (%)
Mode of metastases - N (%) | Synchronous | Control,The number and percentage of participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the control arm of the clinical trial.,Mode of metastases - N (%)
Mode of metastases - N (%) | Metachronous | Treatment,Number and percentage of participants with metachronous metastases (metastases that occur after the diagnosis of prostate cancer) in the treatment arm of the clinical trial.,Mode of metastases - N (%)
Mode of metastases - N (%) | Metachronous | Control,The number and percentage of patients with metachronous metastases (metastases that occur after the diagnosis of prostate cancer) in the control arm of the clinical trial.,Mode of metastases - N (%)
Volume of disease - N (%) | High | Treatment,The number and percentage of participants in the treatment arm of the clinical trial with a high volume or burden of metastatic disease.,Volume of disease - N (%)
Volume of disease - N (%) | High | Control,The number and percentage of participants in the control arm of the clinical trial with high volume/burden metastasis.,Volume of disease - N (%)
Volume of disease - N (%) | Low | Control,The number and percentage of participants in the control arm of the trial with low volume/burden metastases.,Volume of disease - N (%)
Docetaxel administration - N (%) | Treatment,Percentage of participants in the treatment arm of the clinical trial who received docetaxel before or during the trial.,Docetaxel administration - N (%)
Docetaxel administration - N (%) | Control,Number and percentage of participants who received docetaxel before or during the trial in the control arm of the clinical trial.,Docetaxel administration - N (%)
Median Age (years) | Treatment,Median age in years of participants included in the treatment arm of the clinical trial.,Median Age (years)
Median Age (years) | Control,The median age of participants included in the control arm of the clinical trial.,Median Age (years)
PS - N (%) | 0 | Treatment,Number and percentage of participants included in the treatment arm with a Performance Status (PS) score of 0.,PS - N (%)
PS - N (%) | 0 | Control,The number and percentage of patients with a Performance Status (PS) score of 0 in the control arm of the trial.,PS - N (%)
PS - N (%) | 1-2 | Treatment,Number and percentage of participants with a Performance Status (PS) score of 1-2 in the treatment arm of the clinical trial.,PS - N (%)
PS - N (%) | 1-2 | Control,Number and percentage of patients with performance status (PS) score of 1-2 in the control arm of the clinical trial.,PS - N (%)
Gleason score - N (%) | ≤ 7 | Treatment,Number and percentage of participants included in the treatment arm of the clinical trial with a Gleason score of 7 or less.,Gleason score - N (%)
Gleason score - N (%) | ≤ 7 | Control,Number and percentage of patients with a Gleason score of 7 or less in the control arm of the trial.,Gleason score - N (%)
Gleason score - N (%) | ≥ 8 | Treatment,Number and percentage of participants in the treatment arm of the clinical trial with a Gleason score of 8 or higher.,Gleason score - N (%)
Gleason score - N (%) | ≥ 8 | Control,Number and percentage of patients in the control arm of the clinical trial with a Gleason score of 8 or higher.,Gleason score - N (%)
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,The number and percentage of patients experiencing adverse events of all causes with a grade of 3 or higher in the treatment arm of the trial.,Adverse Events - N (%)
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,Number and percentage of patients experiencing all-cause adverse events with a grade of 3 or higher in the control arm of the trial.,Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,Number and percentage of patients experiencing treatment-related adverse events with a grade of 3 or higher in the treatment arm of the trial.,Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,The number and percentage of patients experiencing adverse events that are related to the treatment and have a severity grade of 3 or higher in the control arm of the clinical trial.,Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,The number and percentage of patients showing adverse events that are treatment-related and have a grade of 5 in the treatment arm of the trial.,Adverse Events - N (%)
Adverse Events - N (%) | Treatment-related Grade 5 | Control,The number and percentage of patients experiencing treatment-related adverse events with a grade of 5 in the control arm of the clinical trial.,Adverse Events - N (%)
No. of Deaths - N | Treatment,The number of participants who died in the treatment arm of the clinical trial.,No. of Deaths - N
No. of Deaths - N | Control,Number of deaths that occurred in the control arm of the clinical trial.,No. of Deaths - N
OS Rate (%) | Overall | Treatment,"Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants, regardless of metastasis type or volume, in the treatment arm of the trial.",OS Rate (%)
OS Rate (%) | Overall | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants in the control arm of the trial.,OS Rate (%)
OS Rate (%) | Synchronous | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the treatment arm of the trial.,OS Rate (%)
OS Rate (%) | Synchronous | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with synchronous metastases (metastases at the time of diagnosis of prostate cancer) in the control arm of the trial.,OS Rate (%)
OS Rate (%) | Metachronous | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with metachronous metastases (metastases that occur at a later time after diagnosis of prostate cancer) in the treatment arm of the trial.,OS Rate (%)
OS Rate (%) | Metachronous | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with metachronous metastases (metastases diagnosed after the diagnosis of prostate cancer) in the control arm of the trial.,OS Rate (%)
OS Rate (%) | High volume | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with high volume/burden metastases (by CHAARTED criteria) in the treatment arm of the trial.,OS Rate (%)
OS Rate (%) | High volume | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with high volume/burden metastases (by CHAARTED criteria) in the control arm of the trial.,OS Rate (%)
OS Rate (%) | Low volume | Treatment,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with low volume/burden metastases (by CHAARTED criteria) in the treatment arm of the trial.,OS Rate (%)
OS Rate (%) | Low volume | Control,Hazard ratio with confidence intervals of overall survival (OS) of all comparisons in all participants with low volume/burden metastases (by CHAARTED criteria) in the control arm of the trial.,OS Rate (%)
Median OS (mo) | Overall | Treatment,Median overall survival duration in months of all participants included in the treatment arm of the clinical trial.,Median OS (mo)
Median OS (mo) | Overall | Control,The median overall survival time in months of all participants in the control arm of the clinical trial.,Median OS (mo)
