Type,Page,Content
text,1,original reports
text,1,"Darolutamide Plus Androgen-Deprivation
Therapy and Docetaxel in Metastatic
Hormone-Sensitive Prostat"
text,1,"Maha Hussain, MD1; Bertrand Tombal, MD, PhD2; Fred Saad, MD3; Karim Fizazi, MD, PhD4; Cora N. Sternb"
text,1,abstract
text,1,"PURPOSE For patients with metastatic hormone-sensitive prostate cancer, metastatic burden affects ou"
text,1,METHODS Patients with metastatic hormone-sensitive prostate cancer were randomly assigned to darolut
text,1,"RESULTS Of 1,305 patients, 1,005 (77%) had high-volume disease and 912 (70%) had high-risk disease. "
text,1,CONCLUSION In patients with high-volume and high-risk/low-risk metastatic hormone-sensitive prostate
text,1,J Clin Oncol 00. © 2023 by American Society of Clinical Oncology
text,1,INTRODUCTION
text,1,"In patients with metastatic hormone-sensitive prostate
cancer, early treatment intensiﬁcation with a"
text,1,"with ADT and docetaxel versus ADT and docetaxel
alone (hazard ratio [HR], 0.75; 95% CI, 0.59 to 0.95"
text,1,"The ENZAMET trial allowed for early administration of
docetaxel with enzalutamide.7 Among patients w"
text,1,"ASSOCIATED
CONTENT"
text,1,Appendix
text,1,Protocol
text,1,"Author afﬁliations
and support
information (if
applicable) appear
at the end of this
article."
text,1,"Accepted on January
19, 2023 and
published at
ascopubs.org/journal/
jco on February 16,
2023: DOI ht"
text,1,"1
Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,1,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,2,"Timing of metastatic presentation and disease volume and
risk have been used to assess prognosis in "
text,2,"In ARASENS, the treatment effect of darolutamide on OS
was favorable in patients with de novo (HR, 0"
text,2,"When ARASENS was designed, the ﬁnal analysis of
CHAARTED had not been reported nor had data from
LAT"
text,2,METHODS
text,2,Trial Design
text,2,"ARASENS was a randomized, double-blind, placebo-
controlled, phase III trial conducted at 286 center"
text,2,"countries between November 2016 and June 2018. Com-
plete study design and methodology have been pub"
text,2,"The trial met ethical and clinical practice guidelines with
approval from the institutional review b"
text,2,"In brief, adult patients were eligible for enrollment into
ARASENS if they had metastatic prostate c"
text,2,"For this analysis, patient subgroups on the basis of disease
volume and disease risk were assessed. "
text,2,CONTEXT
text,2,"Key Objective
We evaluated efﬁcacy and safety outcomes from ARASENS in patients with metastatic horm"
text,2,"*Relevance section written by JCO Associate Editor Michael A. Carducci, MD."
text,2,2 © 2023 by American Society of Clinical Oncology
text,2,Hussain et al
text,2,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,2,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,3,"respective high-volume and high-risk criteria. High-volume/
high-risk groups further included patien"
text,3,Study Assessments
text,3,"OS was the primary end point. Secondary efﬁcacy end points
included time to castration-resistant pro"
text,3,"Institute Common Terminology Criteria for Adverse Events,
version 4.03."
text,3,Statistical Analysis
text,3,"This subgroup analysis used Kaplan-Meier estimates to
determine medians and 95% CIs. Treatment group"
text,3,RESULTS
text,3,Patient Characteristics
text,3,"As previously reported, a total of 1,306 patients were
randomly assigned, and 1,305 patients were in"
text,3,"Patients randomly assigned
(N = 1,306)"
text,3,"Darolutamide + docetaxel + ADT
  Received allocated treatment
  Did not receive allocated treatment"
text,3,"(n = 651)
(n = 651)
(n = 0)"
text,3,"Placebo + docetaxel + ADT
  Excluded for GCP violation
  Received allocated treatment
    Did not re"
text,3,"(n = 655)
(n = 1)
(n = 651)"
text,3,"(n = 2)
(n = 1)"
text,3,"Analyzed for primary end point            (n = 651c)
Analyzed for safety                            "
text,3,"Analyzed for primary end point           (n = 654c)
Analyzed for safety                             "
text,3,"Patients screened (N = 1,686)"
text,3,"Discontinued
  Primary reason for discontinuation
    Disease progression, clinical
    Disease prog"
text,3,(n = 526)
text,3,"(n = 272)
(n = 132)
(n = 53)
(n = 5)
(n = 35)
(n = 6)
(n = 23)"
text,3,"Discontinued
  Primary reason for discontinuation
    Disease progression, clinical
    Disease prog"
text,3,(n = 352)
text,3,"(n = 127)
(n = 84)
(n = 72)
(n = 8)
(n = 25)
(n = 3)
(n = 33)"
text,3,"Not eligible                       (n = 380)
  Screen failurea"
text,3,"Withdrawal by patient
  AE
  Physician’s decision
  Other"
text,3,"(n = 309)
(n = 43)
(n = 4)
(n = 2)
(n = 22)"
text,3,FIG 1. CONSORT ﬂow diagram. aPatient had signed informed consent but did not meet inclusion/exclusio
text,3,"bOther includes noncompliance, additional primary malignancy, lost to follow-up, protocol violation,"
text,3,"Journal of Clinical Oncology
3"
text,3,"Darolutamide, ADT, and Docetaxel in mHSPC Volume/Risk Subgroups"
text,3,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,3,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,4,"the full analysis set of ARASENS (Fig 1). Of them, 1,005
(77%) patients had high-volume disease and "
text,4,"Patients receiving darolutamide had longer duration
of treatment versus those receiving placebo in h"
text,4,Primary End Point
text,4,"OS. A beneﬁt in OS was shown with darolutamide
compared with placebo for patients with high-volume
d"
text,4,"The improvement in survival with darolutamide was ob-
served despite more than 70% of patients in th"
text,4,"In both high-risk and low-risk metastatic hormone-sensitive
prostate cancer subgroups, darolutamide "
text,4,Secondary Efﬁcacy End Points
text,4,"Darolutamide prolonged time to castration resistance
compared with placebo in patients with high-vol"
text,4,"Safety. The incidence of AEs was similar between treat-
ment groups across all high-volume and low-v"
text,4,DISCUSSION
text,4,"Two previous studies have investigated the combination of
an androgen receptor pathway inhibitor wit"
text,4,4 © 2023 by American Society of Clinical Oncology
text,4,Hussain et al
text,4,"Downloaded from ascopubs.org by Mayo Foundation--Rochester on June 12, 2023 from 129.176.151.029"
text,4,Copyright © 2023 American Society of Clinical Oncology. All rights reserved.
text,5,TABLE 1. Baseline Demographics and Patient Characteristics for the Subgroups of Patients by Disease 
text,5,Characteristic at Baseline
text,5,"High Volumea
Low Volumea
High Riskb
Low Riskb"
text,5,"All Patients
(N 5 1,305)
Darolutamide
(n 5 497)
Placebo
(n 5 508)
Darolutamide
(n 5 154)
Placebo
(n "
text,5,"Age, median, years (range)
67.0 (41-89)
67.0 (44-86)
67.0 (41-84)
67.5 (42-81)
67.0 (41-86)
67.0 (44"
text,5,"ECOG PS,c No. (%)"
text,5,"0
343 (69.0)
349 (68.7)
123 (79.9)
113 (77.4)
317 (70.1)
318 (69.1)
149 (74.9)
144 (74.2)
928 (71.1)"
text,5,"1
154 (31.0)
157 (30.9)
31 (20.1)
33 (22.6)
135 (29.9)
140 (30.4)
50 (25.1)
50 (25.8)
375 (28.7)"
