```
Median Follow-Up Duration (mo) :: 47.6
Median On-Treatment Duration (mo) | Treatment :: not present
Median On-Treatment Duration (mo) | Control :: not present
Reporting by prognostic groups - Y/N | Synchronous :: N
Reporting by prognostic groups - Y/N | Metachronous :: N
Reporting by prognostic groups - Y/N | High volume :: N
Reporting by prognostic groups - Y/N | Low volume :: N
PFS Rate (%) | Overall | Treatment :: 47.6 months
PFS Rate (%) | Overall | Control :: 23.0 months
Median PFS (mo) | Overall | Treatment :: 47.6
Median PFS (mo) | Overall | Control :: 23.0
Median PFS (mo) | High volume | Treatment :: not present
Median PFS (mo) | High volume | Control :: not present
Median PFS (mo) | Low volume | Treatment :: not present
Median PFS (mo) | Low volume | Control :: not present
Median OS (mo) | Overall | Treatment :: 81.1
Median OS (mo) | Overall | Control :: 70.2
Median OS (mo) | High volume | Treatment :: not present
Median OS (mo) | High volume | Control :: not present
Median OS (mo) | Low volume | Treatment :: not present
Median OS (mo) | Low volume | Control :: not present
Mode of metastases - N (%) | Synchronous | Treatment :: not present
Mode of metastases - N (%) | Synchronous | Control :: not present
Mode of metastases - N (%) | Metachronous | Treatment :: not present
Mode of metastases - N (%) | Metachronous | Control :: not present
OS Rate (%) | Overall | Treatment :: 0.86 (95% CI, 0.72 to 1.02)
OS Rate (%) | Overall | Control :: not present
OS Rate (%) | Synchronous | Treatment :: not present
OS Rate (%) | Synchronous | Control :: not present
OS Rate (%) | Metachronous | Treatment :: not present
OS Rate (%) | Metachronous | Control :: not present
OS Rate (%) | High volume | Treatment :: not present
OS Rate (%) | High volume | Control :: not present
OS Rate (%) | Low volume | Treatment :: not present
OS Rate (%) | Low volume | Control :: not present
No. of Deaths - N | Treatment :: not present
No. of Deaths - N | Control :: not present
Metastases - N (%) | Liver | Treatment :: not present
Metastases - N (%) | Liver | Control :: not present
Metastases - N (%) | Lungs | Treatment :: not present
Metastases - N (%) | Lungs | Control :: not present
Metastases - N (%) | Bone | Treatment :: not present
Metastases - N (%) | Bone | Control :: not present
Metastases - N (%) | Nodal | Treatment :: not present
Metastases - N (%) | Nodal | Control :: not present
ORR - N (%) | Treatment | Overall :: not present
ORR - N (%) | Treatment | CR :: not present
ORR - N (%) | Treatment | SD :: not present
ORR - N (%) | Treatment | PD :: not present
ORR - N (%) | Control | Overall :: not present
ORR - N (%) | Control | CR :: not present
ORR - N (%) | Control | SD :: not present
ORR - N (%) | Control | PD :: not present
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment :: 43%
Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control :: 14%
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment :: not present
Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control :: not present
Adverse Events - N (%) | Treatment-related Grade 5 | Treatment :: 5 (0.80%)
Adverse Events - N (%) | Treatment-related Grade 5 | Control :: 1 (0.16%)
```
