id,nct,pubmed_id,trial_name,author,year,trial_phase,number_of_arms,total_sample_size,publication_type,cancer_type,treatment_regimen,ici_name,ici_class,therapy_modality,combination_type,control_regimen,control_type,lines_of_treatment,clinical_setting_in_relation_to_surgery,primary_endpoint,primary_endpoint_is_multiple_or_composite,secondary_endpoint,pdl1_inclusion,other_biomarker_inclusion,follow_up_type,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months,included_in_ma,therapy_type,clinical_setting
1,NCT02302807,29268948,IMvigor211,Powles T et al,2018,Phase 3,2,931.0,Original publication,Bladder,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,17.3,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
2,NCT02256436,28212060,Keynote-045,Bellmunt J et al,2017,Phase 3,2,542.0,Original publication,Bladder,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"Safety, tolerability, ORR, DoR",False,False,Median,14.1,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
3,NCT02256436,31050707,Keynote-045,Fradet Y et al,2019,Phase 3,2,542.0,Follow-up,Bladder,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Vinflunine+Paclitaxel+Docetaxel,Chemo,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"Safety, tolerability, ORR, DoR",False,False,Median,27.7,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
4,NCT02425891,30345906,IMpassion130,Schmid P et al,2018,Phase 3,2,902.0,Original publication,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab,PD-L1,Combination,ICI+Chemo,Nab-paclitaxel,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"investigator-assessed RECIST v1.1 ORR,  DoR",False,False,Median,12.9,13.0,12.5,Yes,Combination,Metastatic+recurrent (unresectable)
5,NCT02685059,31095287,GeparNuevo,Loibl S et al,2019,Phase 2,2,174.0,Original publication,Breast,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,Durvalumab,PD-L1,Combination,ICI+Chemo,Placebo+Nab-paclitaxel+Epirubicin+Cyclophosphamide,Chemo,,Neoadjuvant,Path CR,,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]",False,False,,,,,Yes,Combination,Neoadjuvant
6,NCT02788279,31003911,IMblaze130,Eng C et al,2019,Phase 3,3,363.0,Original publication,Colorectal,Atezolizumab+Cobimetinib,Atezolizumab,PD-L1,Combination,ICI+MEKi,Regorafenib,Multikinase inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,7.3,,,No,Combination,Metastatic+recurrent (unresectable)
7,NCT02788279,31003911,IMblaze130,Eng C et al (1),2019,Phase 3,3,363.0,Original publication,Colorectal,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Regorafenib,Multikinase inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"investigator-assessed RECIST v1.1 ORR, PFS, DoR",False,False,Median,7.3,,,No,Monotherapy,Metastatic+recurrent (unresectable)
8,NCT01585987,28655793,,Bang YJ et al,2017,Phase 2,2,114.0,Original publication,Gastric/GEJ,Ipilimumab,Ipilimumab,CTLA-4,Monotherapy,,Best supportive care (+/-fluoropyrimidine),Best supportive care,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"PFS by mWHO criteria, OS, immune-related best overall response rate (irBORR)",False,False,,,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
9,NCT02267343,28993052,ATTRACTION-2,Kang YK et al,2017,Phase 3,2,493.0,Original publication,Gastric/GEJ,Nivolumab,Nivolumab,PD1,Monotherapy,,Placebo,Placebo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR, disease control rate, DoR, time to response, best overall response, the maximum percentage change from baseline in the sum of diameters of target lesions.",False,False,Median,,8.87,8.59,Yes,Monotherapy,Metastatic+recurrent (unresectable)
10,NCT02625623,30052729,JAVELIN Gastric 300,Bang YJ et al,2018,Phase 3,2,371.0,Original publication,Gastric/GEJ,Avelumab,Avelumab,PD-L1,Monotherapy,,"Best supportive care (+/-paclitaxel, irinotecan)",Best supportive care,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR per independent review committee assessment, safety, tolerability",False,False,Median,10.6,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
11,NCT02370498,29880231,Keynote-061,Shitara K et al,2018,Phase 3,2,395.0,Original publication,Gastric/GEJ,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Paclitaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"ORR, DoR, in patients with PD-L1 CPS of 1 or higher and in the total population; PFS, OS in the total population; PFS in the population with CPS of 1 or higher and in the total population; and time to progression in the population with CPS of 1 or higher and in the total population; safety",False,False,Median,7.9,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
12,NCT02252042,30509740,KEYNOTE-040,Cohen EEW et al,2018,Phase 3,2,495.0,Original publication,Head and Neck ,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"OS in the population with 
a PD-L1 combined positive 
score of 1 or higher; safety, 
PFS,ORR, duration of 
confirmed response in all 
participants and those with a PD-L1 combined positive score of 1 or higher.",False,False,Median,,7.5,7.1,Yes,Monotherapy,Metastatic+recurrent (unresectable)
13,NCT02105636,27718784,CheckMate 141,Ferris RL et al,2016,Phase 3,2,361.0,Original publication,Head and Neck,Nivolumab,Nivolumab,PD1,Monotherapy,,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR",False,False,Median,5.1,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
14,NCT02105636,29884413,CheckMate 141,Ferris RL et al,2018,Phase 3,2,361.0,Follow-up,Head and Neck,Nivolumab,Nivolumab,PD1,Monotherapy,,Methotrexate/Docetaxel/Cetuximab,Chemo/Anti-EGFR,1st and later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"PFS, ORR",False,False,Minimum,24.2,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
15,NCT01668784,26406148,CheckMate 025,Motzer RJ et al,2015,Phase 3,2,821.0,Original publication,Renal cell,Nivolumab,Nivolumab,PD1,Monotherapy,,Everolimus,mTOR inhibitor,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"ORR; PFS, association between overall survival and tumor expression of PD-L1; incidence of adverse events.",False,False,Minimum,14.0,,,Yes,Monotherapy,Metastatic+recurrent (unresectable)
16,NCT01984242,29867230,IMmotion150,McDermott DF et al,2018,Phase 2,3,305.0,Original publication,Renal cell,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False,False,Median,20.7,,,No,Monotherapy,Metastatic+recurrent (unresectable)
17,NCT01984242,29867230,IMmotion150,McDermott DF et al (1),2018,Phase 2,3,305.0,Original publication,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Chemo,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Investigator-assessed PFS; ORR; 
DOR; OS; patient-reported outcomes; safety.",False,False,Median,20.7,,,No,Combination,Metastatic+recurrent (unresectable)
18,NCT02231749,29562145,CheckMate 214,Motzer RJ et al,2018,Phase 3,2,1096.0,Original publication,Renal cell,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS+ORR,Co-primary,"ORR, PFS and OS in 
intention-to-treat population; incidence rate of adverse events among all treated patients.",False,False,Median,25.2,,,Yes,Combination,Metastatic+recurrent (unresectable)
19,NCT02231749,31427204,CheckMate 214,Motzer RJ et al,2019,Phase 3,2,1096.0,Follow-up,Renal cell,Nivolumab+Ipilimumab,"Nivolumab, Ipilimumab","PD1, CTLA-4",Combination,ICI+ICI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS+ORR,Co-primary,"ORR, PFS and OS in intention-to-treat population; incidence rate of adverse events among all treated patients.",False,False,Median,32.4,,,Yes,Combination,Metastatic+recurrent (unresectable)
20,NCT02684006,30779531,JAVELIN Renal 101,Motzer RJ et al,2019,Phase 3,2,886.0,Original publication,Renal cell,Avelumab+Axitinib,Avelumab,PD-L1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,PFS and OS irrespective of PD-L1 expression; PFS as determined by investigator assessment; ORR; adverse events; pharmacokinetic measures; tumor tissue biomarkers; patient-reported outcomes.,False,False,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
21,NCT02853331,30779529,KEYNOTE-426,Rini BI et al,2019,Phase 3,2,861.0,Original publication,Renal cell,Pembrolizumab+Axitinib,Pembrolizumab,PD1,Combination,ICI+TKI,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,ORR; duration of response; safety,False,False,Median,12.8,,,Yes,Combination,Metastatic+recurrent (unresectable)
22,NCT02420821,31079938,IMmotion151,Rini BI et al,2019,Phase 3,2,915.0,Original publication,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab,PD-L1,Combination,ICI+Anti-VEGF,Sunitinib,TKI,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Co-primary,OS in PD-L1 positive population; PFS in the ITT population; proportion of patients who achieved an objective response; duration of response; patient-reported outcomes; safety,False,False,Median,,,,Yes,Combination,Metastatic+recurrent (unresectable)
23,NCT00527735,22547592,,Lynch TJ et al,2012,Phase 2,3,204.0,Original publication,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",False,False,,,,,Yes,Combination,Metastatic+recurrent (unresectable)
24,NCT00527735,22547592,,Lynch TJ et al (1),2012,Phase 2,3,204.0,Original publication,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"Modified WHO criteria PFS; OS; immune-related best overall response rate; modified WHO criteria best overall response rate;  immune-related disease control rate; modified WHO criteria disease control
rate",False,False,,,,,Yes,Combination,Metastatic+recurrent (unresectable)
25,NCT00527735,22858559,,Reck M et al,2012,Phase 2,3,130.0,Original publication,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",False,False,Minimum,11.1,,,Yes,Combination,Metastatic+recurrent (unresectable)
26,NCT00527735,22858559,,Reck M et al (1),2012,Phase 2,3,130.0,Original publication,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Ipilimumab,CTLA-4,Combination,ICI+Chemo,Placebo+Paclitaxel+Carboplatin,Chemo,Only 1st line of treatment for metastatic disease,Metastatic+recurrent (unresectable),,,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",False,False,Minimum,11.1,,,Yes,Combination,Metastatic+recurrent (unresectable)
27,NCT01673867,26412456,Checkmate 057,Borghaei  H et al,2015,Phase 3,2,582.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"OR, PFS, PRO",False,False,Median,,12.2,9.4,Yes,Monotherapy,Metastatic+recurrent (unresectable)
28,NCT01642004,26028407,Checkmate 017,Brahmer J et al,2015,Phase 3,2,272.0,Original publication,Non-Small Cell Lung,Nivolumab,Nivolumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS,,"OR, PFS, PRO",False,False,Median,,9.2,6.0,Yes,Monotherapy,Metastatic+recurrent (unresectable)
29,NCT01905657,26712084,Keynote-010,Herbst RS et al,2016,Phase 2,3,1034.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"RR, DOR",True,False,Median,,,8.5,Yes,Monotherapy,Metastatic+recurrent (unresectable)
30,NCT01905657,26712084,Keynote-010,Herbst RS et al (1),2016,Phase 2,3,1034.0,Original publication,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab,PD1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),OS+PFS,Multiple,"RR, DOR",True,False,Median,,,8.5,Yes,Monotherapy,Metastatic+recurrent (unresectable)
31,NCT01903993,26970723,POPLAR,Fehrenbacher L et al,2016,Phase 2,2,287.0,Original publication,Non-Small Cell Lung,Atezolizumab,Atezolizumab,PD-L1,Monotherapy,,Docetaxel,Chemo,Only 2nd or later line of treatment for metastatic disease,Metastatic+recurrent (unresectable),PFS,,"ORR, PFS, DOR,OR",True,False,Median,,14.8,15.7,Yes,Monotherapy,Metastatic+recurrent (unresectable)
