nct,author,year,originial_publication_or_follow_up,is_any_other_biomarker_used_for_inclusion,cancer_type,primary_endpoint
NCT01668784,Motzer RJ et al,2015,Original publication,No,Renal cell,OS
NCT01984242,McDermott DF et al,2018,Original publication,No,Renal cell,PFS
NCT01984242,McDermott DF et al (1),2018,Original publication,No,Renal cell,PFS
NCT02231749,Motzer RJ et al,2018,Original publication,No,Renal cell,OS+PFS+ORR
NCT02231749,Motzer RJ et al,2019,Follow-up,No,Renal cell,OS+PFS+ORR
NCT02684006,Motzer RJ et al,2019,Original publication,No,Renal cell,OS+PFS
NCT02853331,Rini BI et al,2019,Original publication,No,Renal cell,OS+PFS
NCT02420821,Rini BI et al,2019,Original publication,No,Renal cell,OS+PFS
NCT02231749,Motzer RJ et al,2020,Follow-up,No,Renal cell,OS+PFS+ORR
NCT01668784,Motzer RJ et al,2020,Follow-up,No,Renal cell,OS
NCT02684006,Choueiri TK et al,2020,Follow-up,No,Renal cell,OS+PFS
NCT02853331,Powles T et al.,2020,Follow-up,No,Renal cell,OS+PFS
NCT02811861,Motzer R et al,2021,Original publication,No,Renal cell,PFS
NCT03141177,Choueiri TK et al,2021,Original publication,No,Renal cell,PFS
