nct,author,year,originial_publication_or_follow_up,class_of_ici,priamry_multiple_composite_or_co_primary_endpoints,name_of_ici,primary_endpoint
NCT02256436,Bellmunt J et al,2017,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02256436,Fradet Y et al,2019,Follow-up,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02370498,Shitara K et al,2018,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02853331,Rini BI et al,2019,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT01905657,Herbst RS et al,2016,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT01905657,Herbst RS et al (1),2016,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02578680,Gandhi L et al,2018,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02775435,Paz-Ares L et al,2018,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02494583,Shitara K et al,2020,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02576977,Mateos MV et al,2019,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02702401,Finn RS et al,2019,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02358031,Burtness B et al,2019,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02358031,Burtness B et al (1),2019,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT03066778,Rudin CM et al,2020,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02494583,Shitara K et al (1),2020,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02819518,Cortes J et al,2020,Original publication,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02853331,Powles T et al.,2020,Follow-up,PD1,Multiple,Pembrolizumab,OS+PFS
NCT02563002,Andre T et al.,2020,Original publication,PD1,Multiple,Pembrolizumab,PFS+OS
NCT03088540,Sezer A et al,2021,Original publication,PD1,Multiple,Cemiplimab,OS+PFS
