nct,author,year,cancer_type,ici_class,trial_phase
NCT02302807,Powles T et al,2018,Bladder,PD-L1,Phase 3
NCT02425891,Schmid P et al,2018,Breast,PD-L1,Phase 3
NCT02685059,Loibl S et al,2019,Breast,PD-L1,Phase 2
NCT02788279,Eng C et al,2019,Colorectal,PD-L1,Phase 3
NCT02788279,Eng C et al (1),2019,Colorectal,PD-L1,Phase 3
NCT01585987,Bang YJ et al,2017,Gastric/GEJ,CTLA-4,Phase 2
NCT02625623,Bang YJ et al,2018,Gastric/GEJ,PD-L1,Phase 3
NCT01984242,McDermott DF et al,2018,Renal cell,PD-L1,Phase 2
NCT01984242,McDermott DF et al (1),2018,Renal cell,PD-L1,Phase 2
NCT02684006,Motzer RJ et al,2019,Renal cell,PD-L1,Phase 3
NCT02420821,Rini BI et al,2019,Renal cell,PD-L1,Phase 3
NCT00527735,Lynch TJ et al,2012,Non-Small Cell Lung,CTLA-4,Phase 2
NCT00527735,Lynch TJ et al (1),2012,Non-Small Cell Lung,CTLA-4,Phase 2
NCT00527735,Reck M et al,2012,Small Cell Lung,CTLA-4,Phase 2
NCT00527735,Reck M et al (1),2012,Small Cell Lung,CTLA-4,Phase 2
NCT01903993,Fehrenbacher L et al,2016,Non-Small Cell Lung,PD-L1,Phase 2
NCT01450761,Reck M et al,2016,Small Cell Lung,CTLA-4,Phase 3
NCT01285609,Govindan R et al,2017,Non-Small Cell Lung,CTLA-4,Phase 3
NCT02125461,Antonia SJ et al,2017,Non-Small Cell Lung,PD-L1,Phase 3
NCT02125461,Antonia SJ et al,2018,Non-Small Cell Lung,PD-L1,Phase 3
NCT02395172,Barlesi F et al,2018,Non-Small Cell Lung,PD-L1,Phase 3
NCT02008227,Rittmeyer A et al,2017,Non-Small Cell Lung,PD-L1,Phase 3
NCT02008227,Fehrenbacher L et al,2018,Non-Small Cell Lung,PD-L1,Phase 3
NCT02763579,Horn L et al,2018,Small Cell Lung,PD-L1,Phase 3
NCT02366143,Socinski MA et al,2018,Non-Small Cell Lung,PD-L1,Phase 3
NCT02366143,Socinski MA et al (1),2018,Non-Small Cell Lung,PD-L1,Phase 3
NCT03059667,Pujol JL et al,2019,Small Cell Lung,PD-L1,Phase 2
NCT02367781,West H et al,2019,Non-Small Cell Lung,PD-L1,Phase 3
NCT02454933,Yang JCH et al,2019,Non-Small Cell Lung,PD-L1,Phase 3
NCT00324155,Robert C et al,2011,Melanoma,CTLA-4,Phase 3
NCT00094653,Hodi FS et al,2010,Melanoma,CTLA-4,Phase 3
NCT00094653,Hodi FS et al (1),2010,Melanoma,CTLA-4,Phase 3
NCT00257205,Ribas A et al,2013,Melanoma,CTLA-4,Phase 3
NCT00636168,Eggermont AMM et al,2016,Melanoma,CTLA-4,Phase 3
NCT01843374,Maio M et al,2017,Mesothelioma,CTLA-4,Phase 2
NCT00861614,Kwon ED et al,2014,Prostate,CTLA-4,Phase 3
NCT01057810,Beer TM et al,2017,Prostate,CTLA-4,Phase 3
NCT03043872,Paz-Ares L et al,2019,Small Cell Lung,PD-L1,Phase 3
NCT02425891,Schmid P et al,2019,Breast,PD-L1,Phase 3
NCT02763579,Mansfield AS et al,2020,Small Cell Lung,PD-L1,Phase 3
NCT02352948,Planchard D et al,2020,Non-Small Cell Lung,PD-L1,Phase 3
NCT02352948,Planchard D et al (1),2020,Non-Small Cell Lung,CTLA-4,Phase 3
NCT01274338,Tarhini AA et al,2020,Melanoma,CTLA-4,Phase 3
NCT01274338,Tarhini AA et al (1),2020,Melanoma,CTLA-4,Phase 3
