nct,author,year,cancer_type,ici_class,trial_phase,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months
NCT02425891,Schmid P et al,2018,Breast,PD-L1,Phase 3,12.9,13.0,12.5
NCT02685059,Loibl S et al,2019,Breast,PD-L1,Phase 2,,,
NCT01042379,Nanda R et al,2019,Breast,PD1,Phase 2,,33.6,36.0
NCT02425891,Schmid P et al,2019,Breast,PD-L1,Phase 3,,18.5,17.5
NCT03036488,Schmid P et al,2020,Breast,PD1,Phase 3,15.5,,
NCT03051659,Tolaney SM et al,2020,Breast,PD1,Phase 2,10.5,,
NCT02819518,Cortes J et al,2020,Breast,PD1,Phase 3,,25.9,26.3
NCT03197935,Mittendorf EA et al,2020,Breast,PD-L1,Phase 3,,20.6,19.8
NCT02924883,Emens LA et al,2020,Breast,PD-L1,Phase 2,,8.5,8.4
NCT02299999,Bachelot T et al,2021,Breast,PD-L1,Phase 2,19.7,,
NCT02555657,Winer PE et al,2021,Breast,PD1,Phase 3,31.4,31.5,
