nct,author,year,pubmed_id,treatment_regimen,combination_type,control_regimen
NCT00324155,Robert C et al,2011,21639810,Ipilimumab+Dacarbazine,ICI+Chemo,Dacarbazine
NCT00094653,Hodi FS et al,2010,20525992,Ipilimumab,,Gp100 vaccine
NCT00094653,Hodi FS et al (1),2010,20525992,Ipilimumab+Gp100 Vaccine,ICI+Vaccine,Gp100 vaccine
NCT00257205,Ribas A et al,2013,23295794,Tremelimumab,,Temozolomide/dacarbazine
NCT00636168,Eggermont AMM et al,2016,27717298,Ipilimumab,,Placebo
NCT01274338,Tarhini AA et al,2020,31880964,Ipilimumab,,High-dose Interferon alfa-2b
NCT01274338,Tarhini AA et al (1),2020,31880964,Ipilimumab,,High-dose Interferon alfa-2b
NCT00094653,McDermott D et al,2013,23942774,Ipilimumab,,Gp100 vaccine
NCT00094653,McDermott D et al (1),2013,23942774,Ipilimumab+Gp100 Vaccine,ICI+Vaccine,Gp100 vaccine
NCT00636168,Eggermont AMM et al,2015,25840693,Ipilimumab,,Placebo
