nct,author,year,pubmed_id
NCT01585987,Bang YJ et al,2017,28655793
NCT00527735,Lynch TJ et al,2012,22547592
NCT00527735,Lynch TJ et al (1),2012,22547592
NCT00527735,Reck M et al,2012,22858559
NCT00527735,Reck M et al (1),2012,22858559
NCT01450761,Reck M et al,2016,27458307
NCT01285609,Govindan R et al,2017,28854067
NCT00324155,Robert C et al,2011,21639810
NCT00094653,Hodi FS et al,2010,20525992
NCT00094653,Hodi FS et al (1),2010,20525992
NCT00257205,Ribas A et al,2013,23295794
NCT00636168,Eggermont AMM et al,2016,27717298
NCT01843374,Maio M et al,2017,28729154
NCT00861614,Kwon ED et al,2014,24831977
NCT01057810,Beer TM et al,2017,28034081
NCT02352948,Planchard D et al (1),2020,32201234
NCT01274338,Tarhini AA et al,2020,31880964
NCT01274338,Tarhini AA et al (1),2020,31880964
NCT01896869,Wu AA et al,2020,32591464
NCT00094653,McDermott D et al,2013,23942774
NCT00094653,McDermott D et al (1),2013,23942774
NCT00861614,Fizazi K et al.,2020,32811715
NCT00636168,Eggermont AMM et al,2015,25840693
