nct,author,year,publication_type,other_biomarker_inclusion,cancer_type,primary_endpoint
NCT00527735,Reck M et al,2012,Original publication,False,Small Cell Lung,
NCT00527735,Reck M et al (1),2012,Original publication,False,Small Cell Lung,
NCT01450761,Reck M et al,2016,Original publication,False,Small Cell Lung,OS
NCT02763579,Horn L et al,2018,Original publication,False,Small Cell Lung,OS+PFS
NCT03059667,Pujol JL et al,2019,Original publication,False,Small Cell Lung,ORR
NCT03043872,Paz-Ares L et al,2019,Original publication,False,Small Cell Lung,OS
NCT03043872,Paz-Ares L et al (1),2019,Original publication,False,Small Cell Lung,OS
NCT02763579,Mansfield AS et al,2020,Follow-up,False,Small Cell Lung,OS+PFS
NCT03066778,Rudin CM et al,2020,Original publication,False,Small Cell Lung,OS+PFS
NCT03043872,Goldman JW et al,2020,Follow-up,False,Small Cell Lung,OS
NCT03043872,Goldman JW et al (1),2020,Follow-up,False,Small Cell Lung,OS
NCT02481830,Spigel DR et al,2021,Original publication,False,Small Cell Lung,OS
NCT02538666,Owonikoko TK et al,2021,Original publication,False,Small Cell Lung,OS
NCT02538666,Owonikoko TK et al,2021,Original publication,False,Small Cell Lung,
