nct,author,year,publication_type,pdl1_inclusion,ici_class,cancer_type,ici_name,trial_phase
NCT01673867,Borghaei  H et al,2015,Original publication,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT01642004,Brahmer J et al,2015,Original publication,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02578680,Gandhi L et al,2018,Original publication,False,PD1,Non-Small Cell Lung,Pembrolizumab,Phase 3
NCT02775435,Paz-Ares L et al,2018,Original publication,False,PD1,Non-Small Cell Lung,Pembrolizumab,Phase 3
NCT02477826,Hellmann MD et al (1),2018,Original publication,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02477826,Hellmann MD et al (1),2019,Follow-up,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02477826,Hellmann MD et al (2),2019,Follow-up,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02613507,Wu YL et al,2019,Original publication,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 3
NCT02574598,Arrieta O et al,2020,Original publication,False,PD1,Non-Small Cell Lung,Pembrolizumab,Phase 2
NCT02852083,Heudobler D et al,2021,Original publication,False,PD1,Non-Small Cell Lung,Nivolumab,Phase 2
