nct,author,year,pubmed_id,other_biomarker_inclusion,cancer_type
NCT00324155,Robert C et al,2011,21639810,False,Melanoma
NCT00094653,Hodi FS et al,2010,20525992,True,Melanoma
NCT00094653,Hodi FS et al (1),2010,20525992,True,Melanoma
NCT00257205,Ribas A et al,2013,23295794,False,Melanoma
NCT02362594,Eggermont AMM et al,2018,29658430,False,Melanoma
NCT01704287,Ribas A et al,2015,26115796,False,Melanoma
NCT01704287,Ribas A et al (1),2015,26115796,False,Melanoma
NCT01704287,Hamid O et al,2017,28961465,False,Melanoma
NCT01704287,Hamid O et al (1),2017,28961465,False,Melanoma
NCT00636168,Eggermont AMM et al,2016,27717298,False,Melanoma
NCT01721746,Weber JS et al,2015,25795410,False,Melanoma
NCT01721746,Larkin J et al,2018,28671856,False,Melanoma
NCT02130466,Ascierto PA et al,2019,31171878,True,Melanoma
NCT01721772,Robert C et al,2015,25399552,True,Melanoma
NCT01721772,Ascierto PA et al,2019,30422243,True,Melanoma
NCT01274338,Tarhini AA et al,2020,31880964,False,Melanoma
NCT01274338,Tarhini AA et al (1),2020,31880964,False,Melanoma
NCT02523313,Zimmer L et al,2020,32416781,False,Melanoma
NCT02523313,Zimmer L et al (1),2020,32416781,False,Melanoma
NCT02908672,Gutzmer R et al,2020,32534646,True,Melanoma
NCT00094653,McDermott D et al,2013,23942774,True,Melanoma
NCT00094653,McDermott D et al (1),2013,23942774,True,Melanoma
NCT01721772,Robert C et al,2020,32997575,True,Melanoma
NCT02130466,Ferrucci PF et al,2020,33361337,True,Melanoma
NCT02362594,Eggermont AMM et al,2020,32946353,False,Melanoma
NCT00636168,Eggermont AMM et al,2015,25840693,False,Melanoma
