nct,author,year,pubmed_id,trial_name,cancer_type,ici_name,ici_class,primary_endpoint,primary_endpoint_is_multiple_or_composite
NCT01585987,Bang YJ et al,2017,28655793,,Gastric/GEJ,Ipilimumab,CTLA-4,PFS,
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Ipilimumab,CTLA-4,PFS,
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Ipilimumab,CTLA-4,PFS,
NCT00527735,Reck M et al,2012,22858559,,Small Cell Lung,Ipilimumab,CTLA-4,,
NCT00527735,Reck M et al (1),2012,22858559,,Small Cell Lung,Ipilimumab,CTLA-4,,
NCT01450761,Reck M et al,2016,27458307,CA184-156,Small Cell Lung,Ipilimumab,CTLA-4,OS,
NCT01285609,Govindan R et al,2017,28854067,,Non-Small Cell Lung,Ipilimumab,CTLA-4,OS,
NCT00324155,Robert C et al,2011,21639810,,Melanoma,Ipilimumab,CTLA-4,OS,
NCT00094653,Hodi FS et al,2010,20525992,MDX010-20,Melanoma,Ipilimumab,CTLA-4,OS,
NCT00094653,Hodi FS et al (1),2010,20525992,MDX010-20,Melanoma,Ipilimumab,CTLA-4,OS,
NCT00257205,Ribas A et al,2013,23295794,,Melanoma,Tremelimumab,CTLA-4,OS,
NCT00636168,Eggermont AMM et al,2016,27717298,,Melanoma,Ipilimumab,CTLA-4,PFS,
NCT01843374,Maio M et al,2017,28729154,DETERMINE,Mesothelioma,Tremelimumab,CTLA-4,OS,
NCT00861614,Kwon ED et al,2014,24831977,CA184-043,Prostate,Ipilimumab,CTLA-4,OS,
NCT01057810,Beer TM et al,2017,28034081,CA184-095,Prostate,Ipilimumab,CTLA-4,OS,
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,CTLA-4,OS+PFS,Multiple
NCT01274338,Tarhini AA et al,2020,31880964,E1609,Melanoma,Ipilimumab,CTLA-4,OS+RFS,Co-primary
NCT01274338,Tarhini AA et al (1),2020,31880964,E1609,Melanoma,Ipilimumab,CTLA-4,OS+RFS,Co-primary
NCT01896869,Wu AA et al,2020,32591464,,Pancreatic,Ipilimumab,CTLA-4,OS,
NCT00094653,McDermott D et al,2013,23942774,MDX010-20,Melanoma,Ipilimumab,CTLA-4,OS,
NCT00094653,McDermott D et al (1),2013,23942774,MDX010-20,Melanoma,Ipilimumab,CTLA-4,OS,
NCT00861614,Fizazi K et al.,2020,32811715,CA184-043,Prostate,Ipilimumab,CTLA-4,OS,
NCT00636168,Eggermont AMM et al,2015,25840693,,Melanoma,Ipilimumab,CTLA-4,PFS,
