nct,author,year,pubmed_id,cancer_type,ici_name,trial_phase,primary_endpoint,primary_endpoint_is_multiple_or_composite
NCT02256436,Bellmunt J et al,2017,28212060,Bladder,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02256436,Fradet Y et al,2019,31050707,Bladder,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02267343,Kang YK et al,2017,28993052,Gastric/GEJ,Nivolumab,Phase 3,OS,
NCT02370498,Shitara K et al,2018,29880231,Gastric/GEJ,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02252042,Cohen EEW et al,2018,30509740,Head and Neck ,Pembrolizumab,Phase 3,OS,
NCT02105636,Ferris RL et al,2016,27718784,Head and Neck,Nivolumab,Phase 3,OS,
NCT02105636,Ferris RL et al,2018,29884413,Head and Neck,Nivolumab,Phase 3,OS,
NCT01668784,Motzer RJ et al,2015,26406148,Renal cell,Nivolumab,Phase 3,OS,
NCT02853331,Rini BI et al,2019,30779529,Renal cell,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT01673867,Borghaei  H et al,2015,26412456,Non-Small Cell Lung,Nivolumab,Phase 3,OS,
NCT01642004,Brahmer J et al,2015,26028407,Non-Small Cell Lung,Nivolumab,Phase 3,OS,
NCT01905657,Herbst RS et al,2016,26712084,Non-Small Cell Lung,Pembrolizumab,Phase 2,OS+PFS,Multiple
NCT01905657,Herbst RS et al (1),2016,26712084,Non-Small Cell Lung,Pembrolizumab,Phase 2,OS+PFS,Multiple
NCT02041533,Carbone DP et al,2017,28636851,Non-Small Cell Lung,Nivolumab,Phase 3,PFS,
NCT02039674,Langer JC et al,2016,27745820,Non-Small Cell Lung,Pembrolizumab,Phase 2,ORR,
NCT02039674,Borghaei  H et al,2018,30138764,Non-Small Cell Lung,Pembrolizumab,Phase 2,ORR,
NCT02578680,Gandhi L et al,2018,29658856,Non-Small Cell Lung,Pembrolizumab,Phase 3,OS+PFS,Multiple
NCT02775435,Paz-Ares L et al,2018,30280635,Non-Small Cell Lung,Pembrolizumab,Phase 3,OS+PFS,Multiple
