nct,author,year,pubmed_id,follow_up_duration_overall_months,follow_up_duration_rx_months,follow_up_duration_control_months
NCT02252042,Cohen EEW et al,2018,30509740,,7.5,7.1
NCT02105636,Ferris RL et al,2016,27718784,5.1,,
NCT02105636,Ferris RL et al,2018,29884413,24.2,,
NCT02358031,Burtness B et al,2019,31679945,,11.5,10.7
NCT02358031,Burtness B et al (1),2019,31679945,,13.0,10.7
NCT02017717,Reardon DA et al,2020,32437507,9.5,9.8,9.4
NCT02369874,Ferris RL et al,2020,32294530,,7.6,8.3
NCT02369874,Ferris RL et al (1),2020,32294530,,6.5,8.3
NCT02952586,Lee NY et al,2021,33794205,,14.6,14.8
NCT02999087,Tao Y et al.,2021,33125944,,,
