nct,author,year,pubmed_id
NCT02302807,Powles T et al,2018,29268948
NCT02425891,Schmid P et al,2018,30345906
NCT02685059,Loibl S et al,2019,31095287
NCT02788279,Eng C et al,2019,31003911
NCT02788279,Eng C et al (1),2019,31003911
NCT02625623,Bang YJ et al,2018,30052729
NCT01984242,McDermott DF et al,2018,29867230
NCT01984242,McDermott DF et al (1),2018,29867230
NCT02684006,Motzer RJ et al,2019,30779531
NCT02420821,Rini BI et al,2019,31079938
NCT01903993,Fehrenbacher L et al,2016,26970723
NCT02125461,Antonia SJ et al,2017,28885881
NCT02125461,Antonia SJ et al,2018,30280658
NCT02395172,Barlesi F et al,2018,30262187
NCT02008227,Rittmeyer A et al,2017,27979383
NCT02008227,Fehrenbacher L et al,2018,29777823
NCT02763579,Horn L et al,2018,30280641
NCT02366143,Socinski MA et al,2018,29863955
NCT02366143,Socinski MA et al (1),2018,29863955
NCT03059667,Pujol JL et al,2019,30664989
NCT02367781,West H et al,2019,31122901
NCT02454933,Yang JCH et al,2019,30763730
NCT03043872,Paz-Ares L et al,2019,31590988
NCT02425891,Schmid P et al,2019,31786121
NCT02763579,Mansfield AS et al,2020,31959349
NCT02352948,Planchard D et al,2020,32201234
NCT02453282,Rizvi NA et al,2020,32271377
NCT02367794,Jotte R et al,2020,32302702
NCT02367794,Jotte R et al (1),2020,32302702
NCT02908672,Gutzmer R et al,2020,32534646
NCT02807636,Galsky MD et al,2020,32416780
NCT02807636,Galsky MD et al (1),2020,32416780
NCT03434379,Finn RS et al,2020,32402160
NCT02369874,Ferris RL et al,2020,32294530
NCT02684006,Choueiri TK et al,2020,32339648
NCT02516241,Powles T et al,2020,32971005
NCT03197935,Mittendorf EA et al,2020,32966830
NCT02603432,Powles T et al,2020,32945632
NCT02625610,Moehler M et al,2020,33197226
NCT02409342,Herbst RS et al.,2020,32997907
NCT02924883,Emens LA et al,2020,33002436
NCT02657434,Nishio M et al,2020,33333328
NCT03043872,Goldman JW et al (1),2020,33285097
NCT01903993,Mazieres J et al,2020,33166718
NCT02008227,Mazieres J et al,2020,33166718
NCT02299999,Bachelot T et al,2021,33462450
NCT02450331,Bellmunt J et al,2021,33721560
NCT02952586,Lee NY et al,2021,33794205
NCT02999087,Tao Y et al.,2021,33125944
