,NCT,Trial name,Author,Year,"Era (≤2014, 2015–2018, ≥2019)",era_json
0,NCT02302807,IMvigor211,Powles T et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
3,NCT02425891,IMpassion130,Schmid P et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
5,NCT02788279,IMblaze130,Eng C et al,2019,≥2019,"{""era"": ""\u22652019""}"
6,NCT02788279,IMblaze130,Eng C et al (1),2019,≥2019,"{""era"": ""\u22652019""}"
15,NCT01984242,IMmotion150,McDermott DF et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
16,NCT01984242,IMmotion150,McDermott DF et al (1),2018,2015–2018,"{""era"": ""2015\u20132018""}"
21,NCT02420821,IMmotion151,Rini BI et al,2019,≥2019,"{""era"": ""\u22652019""}"
30,NCT01903993,POPLAR,Fehrenbacher L et al,2016,2015–2018,"{""era"": ""2015\u20132018""}"
36,NCT02395172,JAVELIN Lung 200,Barlesi F et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
39,NCT02008227,OAK,Rittmeyer A et al,2017,2015–2018,"{""era"": ""2015\u20132018""}"
40,NCT02008227,OAK,Fehrenbacher L et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
42,NCT02763579,IMPower 133,Horn L et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
44,NCT02366143,IMPower150,Socinski MA et al,2018,2015–2018,"{""era"": ""2015\u20132018""}"
45,NCT02366143,IMPower150,Socinski MA et al (1),2018,2015–2018,"{""era"": ""2015\u20132018""}"
52,NCT03059667,IFCT-1603,Pujol JL et al,2019,≥2019,"{""era"": ""\u22652019""}"
54,NCT02367781,IMpower130,West H et al,2019,≥2019,"{""era"": ""\u22652019""}"
83,NCT02425891,IMpassion130,Schmid P et al,2019,≥2019,"{""era"": ""\u22652019""}"
86,NCT02763579,IMpower133,Mansfield AS et al,2020,≥2019,"{""era"": ""\u22652019""}"
101,NCT02367794,IMpower131,Jotte R et al,2020,≥2019,"{""era"": ""\u22652019""}"
102,NCT02367794,IMpower131,Jotte R et al (1),2020,≥2019,"{""era"": ""\u22652019""}"
103,NCT02908672,IMspire150,Gutzmer R et al,2020,≥2019,"{""era"": ""\u22652019""}"
106,NCT02807636,IMvigor130,Galsky MD et al,2020,≥2019,"{""era"": ""\u22652019""}"
107,NCT02807636,IMvigor130,Galsky MD et al (1),2020,≥2019,"{""era"": ""\u22652019""}"
108,NCT03434379,IMbrave150,Finn RS et al,2020,≥2019,"{""era"": ""\u22652019""}"
124,NCT03197935,IMpassion031,Mittendorf EA et al,2020,≥2019,"{""era"": ""\u22652019""}"
128,NCT02409342,IMpower110,Herbst RS et al.,2020,≥2019,"{""era"": ""\u22652019""}"
131,NCT02657434,Impower 132,Nishio M et al,2020,≥2019,"{""era"": ""\u22652019""}"
142,NCT01903993,POPLAR,Mazieres J et al,2020,≥2019,"{""era"": ""\u22652019""}"
143,NCT02008227,OAK,Mazieres J et al,2020,≥2019,"{""era"": ""\u22652019""}"
152,NCT02450331,Imvigor010,Bellmunt J et al,2021,≥2019,"{""era"": ""\u22652019""}"
