,NCT,PMID,Authors,Year,Control arm,control_category
26,NCT01673867,26412456,Borghaei  H et al,2015,Chemo,
27,NCT01642004,26028407,Brahmer J et al,2015,Chemo,
31,NCT01450761,27458307,Reck M et al,2016,Chemo,
32,NCT02041533,28636851,Carbone DP et al,2017,Chemo,
33,NCT01285609,28854067,Govindan R et al,2017,Chemo,
34,NCT02125461,28885881,Antonia SJ et al,2017,Placebo  ,placebo
35,NCT02125461,30280658,Antonia SJ et al,2018,Placebo  ,placebo
36,NCT02395172,30262187,Barlesi F et al,2018,Chemo,
39,NCT02008227,27979383,Rittmeyer A et al,2017,Chemo,
40,NCT02008227,29777823,Fehrenbacher L et al,2018,Chemo,
41,NCT02578680,29658856,Gandhi L et al,2018,Chemo,
42,NCT02763579,30280641,Horn L et al,2018,Placebo,placebo
43,NCT02775435,30280635,Paz-Ares L et al,2018,Chemo,
44,NCT02366143,29863955,Socinski MA et al,2018,Chemo+Anti-VEGF,
45,NCT02366143,29863955,Socinski MA et al (1),2018,Chemo+Anti-VEGF,
46,NCT02477826,29658845,Hellmann MD et al,2018,Chemo,
47,NCT02477826,29658845,Hellmann MD et al (1),2018,Chemo,
48,NCT02477826,31562796,Hellmann MD et al,2019,Chemo,
49,NCT02477826,31562796,Hellmann MD et al (1),2019,Chemo,
50,NCT02477826,31562796,Hellmann MD et al (2),2019,Chemo,
51,NCT02220894,30955977,Mok TSK et al,2019,Chemo,
53,NCT02142738,30620668,Reck M et al,2019,Chemo,
54,NCT02367781,31122901,West H et al,2019,Chemo,
55,NCT02613507,30659987,Wu YL et al,2019,Chemo,
56,NCT02454933,30763730,Yang JCH et al,2019,TKI,
81,NCT03043872,31590988,Paz-Ares L et al,2019,Chemo,
82,NCT03043872,31590988,Paz-Ares L et al (1),2019,Chemo,
86,NCT02763579,31959349,Mansfield AS et al,2020,Chemo,
88,NCT02352948,32201234,Planchard D et al,2020,Chemo/TKI,
89,NCT02352948,32201234,Planchard D et al (1),2020,Chemo/TKI,
90,NCT02352948,32201234,Planchard D et al (2),2020,Chemo/TKI,
97,NCT03066778,32468956,Rudin CM et al,2020,Chemo,
98,NCT02453282,32271377,Rizvi NA et al,2020,Chemo,
99,NCT02453282,32271377,Rizvi NA et al (1),2020,Chemo,
101,NCT02367794,32302702,Jotte R et al,2020,Chemo,
102,NCT02367794,32302702,Jotte R et al (1),2020,Chemo,
115,NCT02142738,27718847,Reck M et al,2016,Chemo,
128,NCT02409342,32997907,Herbst RS et al.,2020,Chemo,
136,NCT03043872,33285097,Goldman JW et al,2020,Chemo,
137,NCT03043872,33285097,Goldman JW et al (1),2020,Chemo,
143,NCT02008227,33166718,Mazieres J et al,2020,Chemo,
145,NCT03215706,33476593,Paz-Ares L et al,2021,Chemo,
146,NCT02481830,33539946,Spigel DR et al,2021,Chemo,
148,NCT02538666,33683919,Owonikoko TK et al,2021,Placebo,placebo
149,NCT02538666,33683919,Owonikoko TK et al,2021,Placebo,placebo
154,NCT03088540,33581821,Sezer A et al,2021,Chemo,
