NCT,PMID,Authors,Year,Total sample size,size_bucket
NCT01585987,28655793,Bang YJ et al,2017,114.0,medium
NCT00527735,22547592,Lynch TJ et al,2012,204.0,medium
NCT00527735,22547592,Lynch TJ et al,2012,204.0,medium
NCT00527735,22858559,Reck M et al,2012,130.0,medium
NCT00527735,22858559,Reck M et al,2012,130.0,medium
NCT01450761,27458307,Reck M et al,2016,1132.0,large
NCT01285609,28854067,Govindan R et al,2017,749.0,large
NCT00324155,21639810,Robert C et al,2011,502.0,large
NCT00094653,20525992,Hodi FS et al,2010,676.0,large
NCT00094653,20525992,Hodi FS et al,2010,676.0,large
NCT00636168,27717298,Eggermont AMM et al,2016,951.0,large
NCT00861614,24831977,Kwon ED et al,2014,799.0,large
NCT01057810,28034081,Beer TM et al,2017,602.0,large
NCT01274338,31880964,Tarhini AA et al,2020,1670.0,large
NCT01274338,31880964,Tarhini AA et al,2020,1670.0,large
NCT01896869,32591464,Wu AA et al,2020,83.0,small
NCT00094653,23942774,McDermott D et al,2013,676.0,large
NCT00094653,23942774,McDermott D et al,2013,676.0,large
NCT00861614,32811715,Fizazi K et al.,2020,799.0,large
 NCT00636168,25840693,Eggermont AMM et al,2015,951.0,large
