NCT,PMID,Authors,Year,Type of combination,combo_type_norm
NCT00527735,22547592,Lynch TJ et al,2012,ICI+Chemo,ICI+Chemo
NCT00527735,22547592,Lynch TJ et al,2012,ICI+Chemo,ICI+Chemo
NCT01285609,28854067,Govindan R et al,2017,ICI+Chemo,ICI+Chemo
NCT02039674,27745820,Langer JC et al,2016,ICI+Chemo,ICI+Chemo
NCT02039674,30138764,Borghaei  H et al,2018,ICI+Chemo,ICI+Chemo
NCT02578680,29658856,Gandhi L et al,2018,ICI+Chemo,ICI+Chemo
NCT02775435,30280635,Paz-Ares L et al,2018,ICI+Chemo,ICI+Chemo
NCT02366143,29863955,Socinski MA et al,2018,ICI+Chemo,ICI+Chemo
NCT02366143,29863955,Socinski MA et al,2018,ICI+Chemo+Anti-VEGF,ICI+Chemo
NCT02477826,29658845,Hellmann MD et al,2018,ICI+ICI,ICI+ICI
NCT02477826,31562796,Hellmann MD et al,2019,ICI+ICI,ICI+ICI
NCT02477826,31562796,Hellmann MD et al,2019,ICI+Chemo,ICI+Chemo
NCT02367781,31122901,West H et al,2019,ICI+Chemo,ICI+Chemo
NCT02454933,30763730,Yang JCH et al,2019,ICI+TKI,ICI+TKI
NCT02352948,32201234,Planchard D et al,2020,ICI+ICI,ICI+ICI
NCT02453282,32271377,Rizvi NA et al,2020,ICI+ICI,ICI+ICI
NCT02367794,32302702,Jotte R et al,2020,ICI+Chemo,ICI+Chemo
NCT02367794,32302702,Jotte R et al,2020,ICI+Chemo,ICI+Chemo
NCT02574598,32271354,Arrieta O et al,2020,ICI+Chemo,ICI+Chemo
NCT02657434,33333328,Nishio M et al,2020,ICI+Chemo,ICI+Chemo
NCT03215706,33476593,Paz-Ares L et al,2021,ICI+ICI+Chemo,ICI+Chemo
