NCT,PMID,Authors,Year,Control arm,control_category
NCT02252042,30509740,Cohen EEW et al,2018,Chemo/Anti-EGFR,active
NCT02105636,27718784,Ferris RL et al,2016,Chemo/Anti-EGFR,active
NCT02105636,29884413,Ferris RL et al,2018,Chemo/Anti-EGFR,active
NCT02358031,31679945,Burtness B et al,2019,Chemo+Anti-EGFR,active
NCT02358031,31679945,Burtness B et al,2019,Chemo+Anti-EGFR,active
NCT02017717,32437507,Reardon DA et al,2020,Anti-VEGF,active
NCT02369874,32294530,Ferris RL et al,2020,Chemo+Anti-EGFR,active
NCT02369874,32294530,Ferris RL et al,2020,Chemo+Anti-EGFR,active
NCT02952586,33794205,Lee NY et al,2021,Chemoradio,active
NCT02999087,33125944,Tao Y et al.,2021,Chemo/Anti-EGFR+Radiotherapy,active
