NCT,PMID,Authors,Year,Clinical setting,setting_normalized
NCT00324155,21639810,Robert C et al,2011,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00094653,20525992,Hodi FS et al,2010,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00094653,20525992,Hodi FS et al,2010,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00257205,23295794,Ribas A et al,2013,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02362594,29658430,Eggermont AMM et al,2018,Adjuvant,adjuvant
NCT01704287,26115796,Ribas A et al,2015,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01704287,26115796,Ribas A et al,2015,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01704287,28961465,Hamid O et al,2017,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01704287,28961465,Hamid O et al,2017,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00636168,27717298,Eggermont AMM et al,2016,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01721746,25795410,Weber JS et al,2015,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01721746,28671856,Larkin J et al,2018,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02130466,31171878,Ascierto PA et al,2019,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01721772,25399552,Robert C et al,2015,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01721772,30422243,Ascierto PA et al,2019,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01274338,31880964,Tarhini AA et al,2020,Adjuvant,adjuvant
NCT01274338,31880964,Tarhini AA et al,2020,Adjuvant,adjuvant
NCT02523313,32416781,Zimmer L et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02523313,32416781,Zimmer L et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02908672,32534646,Gutzmer R et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00094653,23942774,McDermott D et al,2013,Metastatic+recurrent (unresectable),metastatic/advanced
NCT00094653,23942774,McDermott D et al,2013,Metastatic+recurrent (unresectable),metastatic/advanced
NCT01721772,32997575,Robert C et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02130466,33361337,Ferrucci PF et al,2020,Metastatic+recurrent (unresectable),metastatic/advanced
NCT02362594,32946353,Eggermont AMM et al,2020,Adjuvant,adjuvant
 NCT00636168,25840693,Eggermont AMM et al,2015,Metastatic+recurrent (unresectable),metastatic/advanced
