NCT,PMID,Authors,Year,Number of arms,arm_category
NCT02252042,30509740,Cohen EEW et al,2018,2,2-arm
NCT02105636,27718784,Ferris RL et al,2016,2,2-arm
NCT02105636,29884413,Ferris RL et al,2018,2,2-arm
NCT02358031,31679945,Burtness B et al,2019,3,≥3-arm
NCT02358031,31679945,Burtness B et al,2019,3,≥3-arm
NCT02017717,32437507,Reardon DA et al,2020,2,2-arm
NCT02369874,32294530,Ferris RL et al,2020,3,≥3-arm
NCT02369874,32294530,Ferris RL et al,2020,3,≥3-arm
NCT02952586,33794205,Lee NY et al,2021,2,2-arm
NCT02999087,33125944,Tao Y et al.,2021,2,2-arm
