NCT,PMID,Authors,Year,Control regimen,control_drugs
NCT00527735,22547592,Lynch TJ et al,2012,Placebo+Paclitaxel+Carboplatin,"['paclitaxel', 'carboplatin']"
NCT00527735,22547592,Lynch TJ et al,2012,Placebo+Paclitaxel+Carboplatin,"['paclitaxel', 'carboplatin']"
NCT01673867,26412456,Borghaei  H et al,2015,Docetaxel,['docetaxel']
NCT01642004,26028407,Brahmer J et al,2015,Docetaxel,['docetaxel']
NCT01905657,26712084,Herbst RS et al,2016,Docetaxel,['docetaxel']
NCT01905657,26712084,Herbst RS et al,2016,Docetaxel,['docetaxel']
NCT01903993,26970723,Fehrenbacher L et al,2016,Docetaxel,['docetaxel']
NCT02041533,28636851,Carbone DP et al,2017,Platinum-based chemotherapy,[]
NCT01285609,28854067,Govindan R et al,2017,Placebo+Paclitaxel+Carboplatin,"['paclitaxel', 'carboplatin']"
NCT02395172,30262187,Barlesi F et al,2018,Docetaxel,['docetaxel']
NCT02039674,27745820,Langer JC et al,2016,Pemetrexed+Carboplatin,"['pemetrexed', 'carboplatin']"
NCT02039674,30138764,Borghaei  H et al,2018,Pemetrexed+Carboplatin,"['pemetrexed', 'carboplatin']"
NCT02008227,27979383,Rittmeyer A et al,2017,Docetaxel,['docetaxel']
NCT02008227,29777823,Fehrenbacher L et al,2018,Docetaxel,['docetaxel']
NCT02578680,29658856,Gandhi L et al,2018,Placebo+Pemetrexed+Platinum agent,['pemetrexed']
NCT02775435,30280635,Paz-Ares L et al,2018,Placebo+Carboplatin+paclitaxel/nab-paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02366143,29863955,Socinski MA et al,2018,Bevacizumab+Carboplatin+Paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02366143,29863955,Socinski MA et al,2018,Bevacizumab+Carboplatin+Paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02477826,29658845,Hellmann MD et al,2018,Chemotherapy,[]
NCT02477826,29658845,Hellmann MD et al,2018,Chemotherapy,[]
NCT02477826,31562796,Hellmann MD et al,2019,Chemotherapy,[]
NCT02477826,31562796,Hellmann MD et al,2019,Chemotherapy,[]
NCT02477826,31562796,Hellmann MD et al,2019,Chemotherapy,[]
NCT02220894,30955977,Mok TSK et al,2019,Carboplatin+Pemetrexed+Paclitaxel,"['carboplatin', 'pemetrexed', 'paclitaxel']"
NCT02142738,30620668,Reck M et al,2019,Platinum-based chemotherapy,[]
NCT02367781,31122901,West H et al,2019,Carboplatin+Nab-paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02613507,30659987,Wu YL et al,2019,Docetaxel,['docetaxel']
NCT02352948,32201234,Planchard D et al,2020,Erlotinib/gemcitabine/vinorelbine,"['vinorelbine', 'gemcitabine']"
NCT02352948,32201234,Planchard D et al,2020,Erlotinib/gemcitabine/vinorelbine,"['vinorelbine', 'gemcitabine']"
NCT02352948,32201234,Planchard D et al,2020,Erlotinib/gemcitabine/vinorelbine,"['vinorelbine', 'gemcitabine']"
NCT02453282,32271377,Rizvi NA et al,2020,Investigator's choice chemotherapy,[]
NCT02453282,32271377,Rizvi NA et al,2020,Investigator's choice chemotherapy,[]
NCT02367794,32302702,Jotte R et al,2020,Carboplatin+Nab-paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02367794,32302702,Jotte R et al,2020,Carboplatin+Nab-paclitaxel,"['carboplatin', 'paclitaxel']"
NCT02574598,32271354,Arrieta O et al,2020,Docetaxel,['docetaxel']
NCT02142738,27718847,Reck M et al,2016,Platinum-based chemotherapy,[]
NCT02409342,32997907,Herbst RS et al.,2020,Cisplatin/carboplatin+gemcitabine,"['carboplatin', 'cisplatin', 'gemcitabine']"
NCT02657434,33333328,Nishio M et al,2020,Carboplatin/Cisplatin+Pemetrexed,"['carboplatin', 'cisplatin', 'pemetrexed']"
NCT01903993,33166718,Mazieres J et al,2020,Docetaxel,['docetaxel']
NCT02008227,33166718,Mazieres J et al,2020,Docetaxel,['docetaxel']
NCT03215706,33476593,Paz-Ares L et al,2021,Chemotherapy,[]
NCT03088540,33581821,Sezer A et al,2021,Chemotherapy,[]
