NCT,PMID,Authors,Year,Type of follow-up given,followup_type
NCT00527735,22858559,Reck M et al,2012,Minimum,
NCT00527735,22858559,Reck M et al (1),2012,Minimum,
NCT01450761,27458307,Reck M et al,2016,Median,
NCT02763579,30280641,Horn L et al,2018,Median,
NCT03059667,30664989,Pujol JL et al,2019,Median,
NCT03043872,31590988,Paz-Ares L et al,2019,Median,
NCT03043872,31590988,Paz-Ares L et al (1),2019,Median,
NCT02763579,31959349,Mansfield AS et al,2020,,
NCT03066778,32468956,Rudin CM et al,2020,,
NCT03043872,33285097,Goldman JW et al,2020,Median,
NCT03043872,33285097,Goldman JW et al (1),2020,Median,
NCT02481830,33539946,Spigel DR et al,2021,Minimum,
NCT02538666,33683919,Owonikoko TK et al,2021,Median,
NCT02538666,33683919,Owonikoko TK et al,2021,Median,
