NCT,PMID,Authors,Year,Follow-up duration for primary endpoint(s) in months | Overall,maturity
NCT02105636,27718784,Ferris RL et al,2016,5.1,immature
NCT02105636,29884413,Ferris RL et al,2018,24.2,mature
NCT02252042,30509740,Cohen EEW et al,2018,,immature
NCT02358031,31679945,Burtness B et al,2019,,immature
NCT02358031,31679945,Burtness B et al,2019,,immature
NCT02017717,32437507,Reardon DA et al,2020,9.5,immature
NCT02369874,32294530,Ferris RL et al,2020,,immature
NCT02369874,32294530,Ferris RL et al,2020,,immature
NCT02952586,33794205,Lee NY et al,2021,,immature
NCT02999087,33125944,Tao Y et al.,2021,,immature
