NCT,PMID,Authors,Year,Primary endpoint,primary_endpoint_category
NCT01668784,26406148,Motzer RJ et al,2015,OS,OS
NCT02231749,29562145,Motzer RJ et al,2018,OS+PFS+ORR,OS
NCT02231749,31427204,Motzer RJ et al,2019,OS+PFS+ORR,OS
NCT02684006,30779531,Motzer RJ et al,2019,OS+PFS,OS
NCT02853331,30779529,Rini BI et al,2019,OS+PFS,OS
NCT02420821,31079938,Rini BI et al,2019,OS+PFS,OS
NCT02231749,32661118,Motzer RJ et al,2020,OS+PFS+ORR,OS
NCT01668784,32673417,Motzer RJ et al,2020,OS,OS
NCT02684006,32339648,Choueiri TK et al,2020,OS+PFS,OS
NCT02853331,33284113,Powles T et al. ,2020,OS+PFS,OS
NCT02811861,33616314,Motzer R et al,2021,PFS,PFS
NCT03141177,33657295,Choueiri TK et al,2021,PFS,PFS
