NCT,PMID,Authors,Year,Follow-up duration for primary endpoint(s) in months | Overall,followup_bucket
NCT00527735,22547592,Lynch TJ et al,2012,,<24
NCT00527735,22547592,Lynch TJ et al,2012,,<24
NCT01642004,26028407,Brahmer J et al,2015,,<24
NCT01673867,26412456,Borghaei  H et al,2015,,<24
NCT01903993,26970723,Fehrenbacher L et al,2016,,<24
NCT01905657,26712084,Herbst RS et al,2016,,<24
NCT01905657,26712084,Herbst RS et al,2016,,<24
NCT02039674,27745820,Langer JC et al,2016,10.6,<24
NCT02142738,27718847,Reck M et al,2016,,<24
NCT01285609,28854067,Govindan R et al,2017,,<24
NCT02008227,27979383,Rittmeyer A et al,2017,21,<24
NCT02041533,28636851,Carbone DP et al,2017,13.5,<24
NCT02125461,28885881,Antonia SJ et al,2017,14.5,<24
NCT02008227,29777823,Fehrenbacher L et al,2018,26,≥24
NCT02039674,30138764,Borghaei  H et al,2018,23.9,<24
NCT02125461,30280658,Antonia SJ et al,2018,25.2,≥24
NCT02366143,29863955,Socinski MA et al,2018,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",<24
NCT02366143,29863955,Socinski MA et al,2018,"MIN for PFS 9.5, OS 14; MEDIAN for OS 20",<24
NCT02395172,30262187,Barlesi F et al,2018,18.3,<24
NCT02477826,29658845,Hellmann MD et al,2018,11.2,<24
NCT02477826,29658845,Hellmann MD et al,2018,11.2,<24
NCT02578680,29658856,Gandhi L et al,2018,10.5,<24
NCT02775435,30280635,Paz-Ares L et al,2018,7.8,<24
NCT02142738,30620668,Reck M et al,2019,25.2,≥24
NCT02220894,30955977,Mok TSK et al,2019,12.8,<24
NCT02367781,31122901,West H et al,2019,,<24
NCT02454933,30763730,Yang JCH et al,2019,,<24
NCT02477826,31562796,Hellmann MD et al,2019,29.3,≥24
NCT02477826,31562796,Hellmann MD et al,2019,29.3,≥24
NCT02477826,31562796,Hellmann MD et al,2019,29.3,≥24
NCT02613507,30659987,Wu YL et al,2019,8.8,<24
NCT01903993,33166718,Mazieres J et al,2020,48.6,≥24
NCT02008227,33166718,Mazieres J et al,2020,47.7,≥24
NCT02352948,32201234,Planchard D et al,2020,9.1,<24
NCT02352948,32201234,Planchard D et al,2020,9.1,<24
NCT02352948,32201234,Planchard D et al,2020,9.1,<24
NCT02367794,32302702,Jotte R et al,2020,,<24
NCT02367794,32302702,Jotte R et al,2020,,<24
NCT02409342,32997907,Herbst RS et al.,2020,13.4,<24
NCT02453282,32271377,Rizvi NA et al,2020,"30.2, 10.6",≥24
NCT02453282,32271377,Rizvi NA et al,2020,"30.2, 10.6",≥24
NCT02574598,32271354,Arrieta O et al,2020,,<24
NCT02852083, 33796020,Heudobler D et al,2021,8.3,<24
NCT03088540,33581821,Sezer A et al,2021,,<24
NCT03215706,33476593,Paz-Ares L et al,2021,13.2,<24
