,NCT,PMID,Authors,Year,Type of follow-up given,followup_type
3,NCT02425891,30345906,Schmid P et al,2018,Median,clinical
4,NCT02685059,31095287,Loibl S et al,2019,,clinical
80,NCT01042379,32053137,Nanda R et al,2019,Median,clinical
83,NCT02425891,31786121,Schmid P et al,2019,Median,clinical
91,NCT03036488,32101663,Schmid P et al,2020,Median,clinical
118,NCT03051659,32880602,Tolaney SM et al,2020,Median,clinical
121,NCT02819518,33278935,Cortes J et al,2020,Median,clinical
124,NCT03197935,32966830,Mittendorf EA et al,2020,Median,clinical
129,NCT02924883,33002436,Emens LA et al,2020,Median,clinical
150,NCT02299999,33462450,Bachelot T et al,2021,Median,clinical
153,NCT02555657,33676601,Winer PE et al,2021,Median,clinical
