NCT,PMID,Authors,Year,era
NCT02302807,29268948,Powles T et al,2018,2015-2018
NCT02425891,30345906,Schmid P et al,2018,2015-2018
NCT02788279,31003911,Eng C et al,2019,>=2019
NCT02788279,31003911,Eng C et al (1),2019,>=2019
NCT01984242,29867230,McDermott DF et al,2018,2015-2018
NCT01984242,29867230,McDermott DF et al (1),2018,2015-2018
NCT0242082Dr 1,31079938,Rini BI et al,2019,>=2019
NCT01903993,26970723,Fehrenbacher L et al,2016,2015-2018
NCT02395172,30262187,Barlesi F et al,2018,2015-2018
NCT02008227,27979383,Rittmeyer A et al,2017,2015-2018
NCT02008227,29777823,Fehrenbacher L et al,2018,2015-2018
NCT02763579,30280641,Horn L et al,2018,2015-2018
NCT02366143,29863955,Socinski MA et al,2018,2015-2018
NCT02366143,29863955,Socinski MA et al (1),2018,2015-2018
NCT03059667,30664989,Pujol JL et al,2019,>=2019
NCT02367781,31122901,West H et al,2019,>=2019
NCT02425891,31786121,Schmid P et al,2019,>=2019
NCT02763579,31959349,Mansfield AS et al,2020,>=2019
NCT02367794,32302702,Jotte R et al,2020,>=2019
NCT02367794,32302702,Jotte R et al (1),2020,>=2019
NCT02908672,32534646,Gutzmer R et al,2020,>=2019
NCT02807636,32416780,Galsky MD et al,2020,>=2019
NCT02807636,32416780,Galsky MD et al (1),2020,>=2019
NCT03434379,32402160,Finn RS et al,2020,>=2019
NCT03197935,32966830,Mittendorf EA et al,2020,>=2019
NCT02409342,32997907,Herbst RS et al.,2020,>=2019
NCT02924883,33002436,Emens LA et al,2020,>=2019
NCT02657434,33333328,Nishio M et al,2020,>=2019
NCT01903993,33166718,Mazieres J et al,2020,>=2019
NCT02008227,33166718,Mazieres J et al,2020,>=2019
NCT02450331, 33721560,Bellmunt J et al,2021,>=2019
