NCT,PMID,Authors,Year,Secondary endpoint,endpoint_role
NCT00527735,22858559,Reck M et al,2012,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",secondary
NCT00527735,22858559,Reck M et al,2012,"Immune-related PFS; modified WHO criteria PFS; OS; modified WHO criteria best overall response rate; irBORR (proportion of patients with irCR or irPR);  modified WHO criteria disease control rate; irDCR (proportion of patients with irCR, irPR or irSD)",secondary
NCT01450761,27458307,Reck M et al,2016,"PFS, ORR, DOR",secondary
NCT02763579,30280641,Horn L et al,2018,"ORR, DOR",secondary
NCT03043872,31590988,Paz-Ares L et al,2019,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,secondary
NCT03043872,31590988,Paz-Ares L et al,2019,PFS; objective response; OS at 18 months; PFS at 6 and 12 months; safety; pharmacokinetics; immunogenicity; symptoms and health-related quality of life assessments.,secondary
NCT03059667,30664989,Pujol JL et al,2019,"OS, PFS, RR, Disease progression/Death, QoL",secondary
NCT02763579,31959349,Mansfield AS et al,2020,Patient-reported outcomes,secondary
NCT03043872,33285097,Goldman JW et al,2020,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",secondary
NCT03043872,33285097,Goldman JW et al,2020,"PFS, ORR, OS at 18 months, PFS, safety, pharmacokinetics, immunogenicity, HRQOL",secondary
NCT03066778,32468956,Rudin CM et al,2020,ORR; DOR,secondary
NCT02481830,33539946,Spigel DR et al,2021,PFS; ORR; DoR,secondary
NCT02538666,33683919,Owonikoko TK et al,2021,OS in Arm 2 vs Arm 3; PFS,secondary
NCT02538666,33683919,Owonikoko TK et al,2021,OS in Arm 2 vs Arm 3; PFS,secondary
