NCT,PMID,Authors,Year,Trial name,biomarkers
NCT00094653,20525992,Hodi FS et al,2010,MDX010-20,[]
NCT00094653,20525992,Hodi FS et al,2010,MDX010-20,[]
NCT00094653,23942774,McDermott D et al,2013,MDX010-20,[]
NCT00094653,23942774,McDermott D et al,2013,MDX010-20,[]
NCT01721772,25399552,Robert C et al,2015,CheckMate 066,[]
NCT01721772,30422243,Ascierto PA et al,2019,CheckMate 066,[]
NCT02130466,31171878,Ascierto PA et al,2019,KEYNOTE-022,[]
NCT01721772,32997575,Robert C et al,2020,CheckMate 066,[]
NCT02130466,33361337,Ferrucci PF et al,2020,KEYNOTE-022,[]
NCT02908672,32534646,Gutzmer R et al,2020,IMspire150,[]
