NCT,PMID,Authors,Year,Secondary endpoint,irAE_assessed
NCT02425891,30345906,Schmid P et al,2018,"investigator-assessed RECIST v1.1 ORR,  DoR",False
NCT01042379,32053137,Nanda R et al,2019,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.,False
NCT02425891,31786121,Schmid P et al,2019,"investigator-assessed RECIST v1.1 ORR,  DoR",False
NCT02685059,31095287,Loibl S et al,2019,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]",False
NCT02819518,33278935,Cortes J et al,2020,"ORR, DoR, DCR",False
NCT02924883,33002436,Emens LA et al,2020,"OS, ORR, DOR",False
NCT03036488,32101663,Schmid P et al,2020,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors.",False
NCT03051659,32880602,Tolaney SM et al,2020,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability",False
NCT03197935,32966830,Mittendorf EA et al,2020,"OS, Event free survival , disease free survival",False
NCT02299999,33462450,Bachelot T et al,2021,OS,False
NCT02555657,33676601,Winer PE et al,2021,PFS; ORR; DCR; DoR; safety,False
