NCT,PMID,Authors,Year,Treatment regimen,added_agents
NCT02039674,27745820,Langer JC et al,2016,Pembrolizumab+Pemetrexed+Carboplatin,"[""pemetrexed"", ""carboplatin""]"
NCT02039674,30138764,Borghaei  H et al,2018,Pembrolizumab+Pemetrexed+Carboplatin,"[""pemetrexed"", ""carboplatin""]"
NCT02578680,29658856,Gandhi L et al,2018,Pembrolizumab+Platinum agent,[]
NCT02775435,30280635,Paz-Ares L et al,2018,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,"[""carboplatin"", ""paclitaxel"", ""nab-paclitaxel""]"
NCT01042379,32053137,Nanda R et al,2019,Pembrolizumab+Paclitaxel,"[""paclitaxel""]"
NCT02130466,31171878,Ascierto PA et al,2019,Pembrolizumab+Dabrafenib+Trametinib,[]
NCT02358031,31679945,Burtness B et al,2019,Pembrolizumab+Platinum agent+5-Fluorouracil,"[""5-fluorouracil""]"
NCT02576977,31327687,Mateos MV et al,2019,Pembrolizumab+Pomalidomide+Dexamethasone,[]
NCT02579863,31327689,Usmani SZ et al,2019,Pembrolizumab+Lenalidomide+Dexamethasone,[]
NCT02853331,30779529,Rini BI et al,2019,Pembrolizumab+Axitinib,"[""axitinib""]"
NCT02130466,33361337,Ferrucci PF et al,2020,Pembrolizumab+Dabrafenib+Trametinib,[]
NCT02362048,32114502,Overman M et al,2020,Pembrolizumab+Acalabrutinib,[]
NCT02494583,32880601,Shitara K et al,2020,Pembrolizumab+Cisplatin+5-FU+Capecitabine,"[""cisplatin"", ""capecitabine""]"
NCT02574598,32271354,Arrieta O et al,2020,Pembrolizumab+ Docetaxel,"[""docetaxel""]"
NCT02819518,33278935,Cortes J et al,2020,Pembrolizumab+nab-paclitaxel/paclitaxel/gemcitabine+ carboplatin,"[""paclitaxel"", ""nab-paclitaxel"", ""gemcitabine"", ""carboplatin""]"
NCT02853331,33284113,Powles T et al.,2020,Pembrolizumab+Axitinib,"[""axitinib""]"
NCT03036488,32101663,Schmid P et al,2020,Pembrolizumab+Paclitaxel+Carboplatin,"[""paclitaxel"", ""carboplatin""]"
NCT03051659,32880602,Tolaney SM et al,2020,Pembrolizumab+Eribulin,[]
NCT03066778,32468956,Rudin CM et al,2020,Pembrolizumab+Etoposide+Platinum agent,"[""etoposide""]"
NCT02811861,33616314,Motzer R et al,2021,Pembrolizumab+Lenvatinib,"[""lenvatinib""]"
