NCT,PMID,Authors,Year,Trial phase,phase_bucket
NCT00094653,20525992,Hodi FS et al,2010,Phase 3,late
NCT00094653,20525992,Hodi FS et al,2010,Phase 3,late
NCT00324155,21639810,Robert C et al,2011,Phase 3,late
NCT00527735,22547592,Lynch TJ et al,2012,Phase 2,early
NCT00527735,22547592,Lynch TJ et al,2012,Phase 2,early
NCT00527735,22858559,Reck M et al,2012,Phase 2,early
NCT00527735,22858559,Reck M et al,2012,Phase 2,early
NCT00094653,23942774,McDermott D et al,2013,Phase 3,late
NCT00094653,23942774,McDermott D et al,2013,Phase 3,late
NCT00861614,24831977,Kwon ED et al,2014,Phase 3,late
 NCT00636168,25840693,Eggermont AMM et al,2015,Phase 3,late
NCT00636168,27717298,Eggermont AMM et al,2016,Phase 3,late
NCT01450761,27458307,Reck M et al,2016,Phase 3,late
NCT01057810,28034081,Beer TM et al,2017,Phase 3,late
NCT01285609,28854067,Govindan R et al,2017,Phase 3,late
NCT01585987,28655793,Bang YJ et al,2017,Phase 2,early
NCT00861614,32811715,Fizazi K et al.,2020,Phase 3,late
NCT01274338,31880964,Tarhini AA et al,2020,Phase 3,late
NCT01274338,31880964,Tarhini AA et al,2020,Phase 3,late
NCT01896869,32591464,Wu AA et al,2020,Phase 2,early
