row_index,question,gt_sql_original,gt_sql_final,status,error,result_rows,results_csv,fixes_applied
0,Show Melanoma trials that used ICI+Vaccine combinations.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""combination_type"", ""cancer_type"", ""treatment_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""combination_type"" = 'ICI+Vaccine';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_combination"", ""cancer_type"", ""treatment_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""type_of_combination"" = 'ICI+Vaccine';",ok,,2,gt_sql_runs_fixed/row000_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]"
1,Show Melanoma trials with at least 2 prior lines of therapy that used combination treatment.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""lines_of_treatment"", ""monotherapy_combination"", ""cancer_type"", ""type_of_combination"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""monotherapy_combination"" = 'Combination';",ok,,2,gt_sql_runs_fixed/row001_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]"
2,List Melanoma trials requiring a biomarker other than PD‑L1 for inclusion.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""other_biomarker_inclusion"" = 'Yes';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""is_any_other_biomarker_used_for_inclusion"" = 'Yes';",ok,,10,gt_sql_runs_fixed/row002_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]"
3,Show Ipilimumab combination trials in Melanoma with sample sizes.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""therapy_modality"", ""cancer_type"", ""total_sample_size"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Ipilimumab' AND ""cancer_type"" = 'Melanoma' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""total_sample_size"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""name_of_ici"" = 'Ipilimumab' AND ""cancer_type"" = 'Melanoma' AND ""monotherapy_combination"" = 'Combination';",ok,,3,gt_sql_runs_fixed/row003_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}]"
4,"Which Phase 3 CTLA-4 combination trials in Melanoma should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3' AND ""monotherapy_combination"" = 'Combination';",ok,,3,gt_sql_runs_fixed/row004_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
5,"Which Non-Small Cell Lung studies tested ICI+Chemo combinations, and what were the primary endpoints?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""combination_type"", ""cancer_type"", ""treatment_regimen"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""combination_type"" = 'ICI+Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_combination"", ""cancer_type"", ""treatment_regimen"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""type_of_combination"" = 'ICI+Chemo';",ok,,13,gt_sql_runs_fixed/row005_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]"
6,Which Non-Small Cell Lung phase 2 trials compared ICI to Chemo?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""control_type"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""control_type"" = 'Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""type_of_control"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""type_of_control"" = 'Chemo';",ok,,9,gt_sql_runs_fixed/row006_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
7,"Which Phase 2 CTLA-4 combination trials in Non-Small Cell Lung should I review, and what were their regimens?","SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""monotherapy_combination"" = 'Combination';",ok,,2,gt_sql_runs_fixed/row007_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]"
8,Which Small Cell Lung trials used Chemo as the control arm?,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""control_type"" = 'Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_control"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""type_of_control"" = 'Chemo';",ok,,11,gt_sql_runs_fixed/row008_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}]"
9,Find Small Cell Lung trials with minimum follow‑up and show months by arm.,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""follow_up_type"" = 'Minimum';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_follow_up_given"", ""cancer_type"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""type_of_follow_up_given"" = 'Minimum';",ok,,3,gt_sql_runs_fixed/row009_gt_results.csv,"[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'follow_up_type', 'replaced_with': 'type_of_follow_up_given', 'reason': 'known_map'}, {'missing': 'follow_up_duration_rx_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_rx', 'reason': 'known_map'}, {'missing': 'follow_up_duration_control_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_control', 'reason': 'known_map'}]"
