nct,author,year,originial_publication_or_follow_up,type_of_control,cancer_type,control_regimen,trial_phase
NCT00527735,Reck M et al,2012,Original publication,Chemo,Small Cell Lung,Placebo+Paclitaxel+Carboplatin,Phase 2
NCT00527735,Reck M et al (1),2012,Original publication,Chemo,Small Cell Lung,Placebo+Paclitaxel+Carboplatin,Phase 2
NCT01450761,Reck M et al,2016,Original publication,Chemo,Small Cell Lung,Placebo+Etoposide+Platinum agent,Phase 3
NCT03059667,Pujol JL et al,2019,Original publication,Chemo,Small Cell Lung,Etoposide+Carboplatin/Topotecan,Phase 2
NCT03043872,Paz-Ares L et al,2019,Original publication,Chemo,Small Cell Lung,Platinum+Etoposide,Phase 3
NCT03043872,Paz-Ares L et al (1),2019,Original publication,Chemo,Small Cell Lung,Platinum+Etoposide,Phase 3
NCT02763579,Mansfield AS et al,2020,Follow-up,Chemo,Small Cell Lung,Placebo+Carboplatin+Etoposide,Phase 3
NCT03066778,Rudin CM et al,2020,Original publication,Chemo,Small Cell Lung,Placebo+Etoposide+Platinum agent,Phase 3
NCT03043872,Goldman JW et al,2020,Follow-up,Chemo,Small Cell Lung,Platinum+Etoposide,Phase 3
NCT03043872,Goldman JW et al (1),2020,Follow-up,Chemo,Small Cell Lung,Platinum+Etoposide,Phase 3
NCT02481830,Spigel DR et al,2021,Original publication,Chemo,Small Cell Lung,Chemotherapy,Phase 3
