nct,author,year,originial_publication_or_follow_up,type_of_follow_up_given,cancer_type,follow_up_duration_for_primary_endpoint_s_in_months_rx,follow_up_duration_for_primary_endpoint_s_in_months_control
NCT01984242,McDermott DF et al,2018,Original publication,Median,Renal cell,,
NCT01984242,McDermott DF et al (1),2018,Original publication,Median,Renal cell,,
NCT02231749,Motzer RJ et al,2018,Original publication,Median,Renal cell,,
NCT02231749,Motzer RJ et al,2019,Follow-up,Median,Renal cell,,
NCT02684006,Motzer RJ et al,2019,Original publication,Median,Renal cell,"11.6, 9.9","10.7, 8.4"
NCT02853331,Rini BI et al,2019,Original publication,Median,Renal cell,,
NCT02420821,Rini BI et al,2019,Original publication,Median,Renal cell,,
NCT01668784,Motzer RJ et al,2020,Follow-up,Median,Renal cell,25.8,19.7
NCT02684006,Choueiri TK et al,2020,Follow-up,Median,Renal cell,"13.3,NE","8.0,NE"
NCT02853331,Powles T et al.,2020,Follow-up,Median,Renal cell,NE,35.7
NCT02811861,Motzer R et al,2021,Original publication,Median,Renal cell,,
NCT03141177,Choueiri TK et al,2021,Original publication,Median,Renal cell,,
