nct,author,year,originial_publication_or_follow_up,is_pd_l1_positivity_inclusion_criteria,class_of_ici,cancer_type,name_of_ici,trial_phase
NCT02362594,Eggermont AMM et al,2018,Original publication,No,PD1,Melanoma,Pembrolizumab,Phase 3
NCT01704287,Ribas A et al,2015,Original publication,No,PD1,Melanoma,Pembrolizumab,Phase 2
NCT01704287,Ribas A et al (1),2015,Original publication,No,PD1,Melanoma,Pembrolizumab,Phase 2
NCT01704287,Hamid O et al,2017,Follow-up,No,PD1,Melanoma,Pembrolizumab,Phase 2
NCT01704287,Hamid O et al (1),2017,Follow-up,No,PD1,Melanoma,Pembrolizumab,Phase 2
NCT01721746,Weber JS et al,2015,Original publication,No,PD1,Melanoma,Nivolumab,Phase 3
NCT01721746,Larkin J et al,2018,Follow-up,No,PD1,Melanoma,Nivolumab,Phase 3
NCT02130466,Ascierto PA et al,2019,Original publication,No,PD1,Melanoma,Pembrolizumab,Phase 2
NCT01721772,Robert C et al,2015,Original publication,No,PD1,Melanoma,Nivolumab,Phase 3
NCT01721772,Ascierto PA et al,2019,Follow-up,No,PD1,Melanoma,Nivolumab,Phase 3
NCT02523313,Zimmer L et al,2020,Original publication,No,PD1,Melanoma,Nivolumab,Phase 2
NCT01721772,Robert C et al,2020,Follow-up,No,PD1,Melanoma,Nivolumab,Phase 3
NCT02130466,Ferrucci PF et al,2020,Original publication,No,PD1,Melanoma,Pembrolizumab,Phase 2
NCT02362594,Eggermont AMM et al,2020,Follow-up,No,PD1,Melanoma,Pembrolizumab,Phase 3
