nct,author,year,pubmed_id,trial_name,ici_name,ici_class,cancer_type,treatment_regimen
NCT00527735,Lynch TJ et al,2012,22547592,,Ipilimumab,CTLA-4,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin
NCT00527735,Lynch TJ et al (1),2012,22547592,,Ipilimumab,CTLA-4,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin
NCT01673867,Borghaei  H et al,2015,26412456,Checkmate 057,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab
NCT01642004,Brahmer J et al,2015,26028407,Checkmate 017,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab
NCT02041533,Carbone DP et al,2017,28636851,Checkmate 026,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab
NCT01285609,Govindan R et al,2017,28854067,,Ipilimumab,CTLA-4,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin
NCT02039674,Langer JC et al,2016,27745820,Keynote-021,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin
NCT02039674,Borghaei  H et al,2018,30138764,Keynote-021,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin
NCT02578680,Gandhi L et al,2018,29658856,Keynote-189,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab+Platinum agent
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab+Chemotherapy
NCT02220894,Mok TSK et al,2019,30955977,Keynote-042,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab
NCT02142738,Reck M et al,2019,30620668,Keynote-024,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab
NCT02613507,Wu YL et al,2019,30659987,Checkmate 078,Nivolumab,PD1,Non-Small Cell Lung,Nivolumab
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Tremelimumab,CTLA-4,Non-Small Cell Lung,Tremelimumab
NCT02574598,Arrieta O et al,2020,32271354,PROLUNG,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab+ Docetaxel
NCT02142738,Reck M et al,2016,27718847,Keynote-024,Pembrolizumab,PD1,Non-Small Cell Lung,Pembrolizumab
