nct,author,year,publication_type,combination_type,cancer_type,treatment_regimen,primary_endpoint
NCT00527735,Lynch TJ et al,2012,Original publication,ICI+Chemo,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,PFS
NCT00527735,Lynch TJ et al (1),2012,Original publication,ICI+Chemo,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,PFS
NCT01285609,Govindan R et al,2017,Original publication,ICI+Chemo,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,OS
NCT02039674,Langer JC et al,2016,Original publication,ICI+Chemo,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,ORR
NCT02039674,Borghaei  H et al,2018,Follow-up,ICI+Chemo,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,ORR
NCT02578680,Gandhi L et al,2018,Original publication,ICI+Chemo,Non-Small Cell Lung,Pembrolizumab+Platinum agent,OS+PFS
NCT02775435,Paz-Ares L et al,2018,Original publication,ICI+Chemo,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,OS+PFS
NCT02366143,Socinski MA et al,2018,Original publication,ICI+Chemo,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,OS+PFS
NCT02477826,Hellmann MD et al (2),2019,Follow-up,ICI+Chemo,Non-Small Cell Lung,Nivolumab+Chemotherapy,OS
NCT02367781,West H et al,2019,Original publication,ICI+Chemo,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,OS+PFS
NCT02367794,Jotte R et al,2020,Original publication,ICI+Chemo,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,OS+PFS
NCT02367794,Jotte R et al (1),2020,Original publication,ICI+Chemo,Non-Small Cell Lung,Atezolizumab+Carboplatin+Nab-paclitaxel,OS+PFS
NCT02574598,Arrieta O et al,2020,Original publication,ICI+Chemo,Non-Small Cell Lung,Pembrolizumab+ Docetaxel,ORR
