nct,author,year,pubmed_id,trial_name,control_type
NCT00527735,Lynch TJ et al,2012,22547592,,Chemo
NCT00527735,Lynch TJ et al (1),2012,22547592,,Chemo
NCT00527735,Reck M et al,2012,22858559,,Chemo
NCT00527735,Reck M et al (1),2012,22858559,,Chemo
NCT01673867,Borghaei  H et al,2015,26412456,Checkmate 057,Chemo
NCT01642004,Brahmer J et al,2015,26028407,Checkmate 017,Chemo
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Chemo
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Chemo
NCT01903993,Fehrenbacher L et al,2016,26970723,POPLAR,Chemo
NCT01450761,Reck M et al,2016,27458307,CA184-156,Chemo
NCT02041533,Carbone DP et al,2017,28636851,Checkmate 026,Chemo
NCT01285609,Govindan R et al,2017,28854067,,Chemo
NCT02395172,Barlesi F et al,2018,30262187,JAVELIN Lung 200,Chemo
NCT02039674,Langer JC et al,2016,27745820,Keynote-021,Chemo
NCT02039674,Borghaei  H et al,2018,30138764,Keynote-021,Chemo
NCT02008227,Rittmeyer A et al,2017,27979383,OAK,Chemo
NCT02008227,Fehrenbacher L et al,2018,29777823,OAK,Chemo
NCT02578680,Gandhi L et al,2018,29658856,Keynote-189,Chemo
NCT02775435,Paz-Ares L et al,2018,30280635,Keynote-407,Chemo
NCT02477826,Hellmann MD et al,2018,29658845,Checkmate 227,Chemo
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Chemo
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Chemo
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Chemo
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Chemo
NCT02220894,Mok TSK et al,2019,30955977,Keynote-042,Chemo
NCT03059667,Pujol JL et al,2019,30664989,IFCT-1603,Chemo
NCT02142738,Reck M et al,2019,30620668,Keynote-024,Chemo
NCT02367781,West H et al,2019,31122901,IMpower130,Chemo
NCT02613507,Wu YL et al,2019,30659987,Checkmate 078,Chemo
NCT03043872,Paz-Ares L et al,2019,31590988,CASPIAN,Chemo
NCT03043872,Paz-Ares L et al (1),2019,31590988,CASPIAN,Chemo
NCT02763579,Mansfield AS et al,2020,31959349,IMpower133,Chemo
NCT03066778,Rudin CM et al,2020,32468956,KEYNOTE-604,Chemo
NCT02453282,Rizvi NA et al,2020,32271377,MYSTIC,Chemo
NCT02453282,Rizvi NA et al (1),2020,32271377,MYSTIC,Chemo
NCT02367794,Jotte R et al,2020,32302702,IMpower131,Chemo
NCT02367794,Jotte R et al (1),2020,32302702,IMpower131,Chemo
NCT02574598,Arrieta O et al,2020,32271354,PROLUNG,Chemo
NCT02142738,Reck M et al,2016,27718847,Keynote-024,Chemo
NCT02409342,Herbst RS et al.,2020,32997907,IMpower110,Chemo
NCT03043872,Goldman JW et al,2020,33285097,CASPIAN,Chemo
NCT03043872,Goldman JW et al (1),2020,33285097,CASPIAN,Chemo
NCT01903993,Mazieres J et al,2020,33166718,POPLAR,Chemo
NCT02008227,Mazieres J et al,2020,33166718,OAK,Chemo
NCT03215706,Paz-Ares L et al,2021,33476593,CheckMate 9LA,Chemo
NCT02481830,Spigel DR et al,2021,33539946,CheckMate 331,Chemo
NCT03088540,Sezer A et al,2021,33581821,EMPOWER-Lung 1,Chemo
