nct,author,year,pubmed_id,Experimental Arm,Control Arm
NCT01668784,Motzer RJ et al,2015,26406148,,
NCT01984242,McDermott DF et al,2018,29867230,,
NCT01984242,McDermott DF et al (1),2018,29867230,,
NCT02231749,Motzer RJ et al,2018,29562145,,
NCT02231749,Motzer RJ et al,2019,31427204,,
NCT02853331,Rini BI et al,2019,30779529,,
NCT02231749,Motzer RJ et al,2020,32661118,,
NCT02853331,Powles T et al. ,2020,33284113,,35.7
NCT02811861,Motzer R et al,2021,33616314,,
NCT03141177,Choueiri TK et al,2021,33657295,,
