nct,author,year,pubmed_id,trial_name,cancer_type,ici_name,ici_class,included_in_ma
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Ipilimumab,CTLA-4,Yes
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Ipilimumab,CTLA-4,Yes
NCT01903993,Fehrenbacher L et al,2016,26970723,POPLAR,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
NCT01285609,Govindan R et al,2017,28854067,,Non-Small Cell Lung,Ipilimumab,CTLA-4,Yes
NCT02125461,Antonia SJ et al,2017,28885881,PACIFIC,Non-Small Cell Lung,Durvalumab,PD-L1,Yes
NCT02395172,Barlesi F et al,2018,30262187,JAVELIN Lung 200,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
NCT02366143,Socinski MA et al,2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
NCT02366143,Socinski MA et al (1),2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
NCT02367781,West H et al,2019,31122901,IMpower130,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
NCT02352948,Planchard D et al,2020,32201234,ARCTIC,Non-Small Cell Lung,Durvalumab,PD-L1,Yes
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,CTLA-4,Yes
NCT02453282,Rizvi NA et al,2020,32271377,MYSTIC,Non-Small Cell Lung,Durvalumab,PD-L1,Yes
NCT02367794,Jotte R et al,2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
NCT02367794,Jotte R et al (1),2020,32302702,IMpower131,Non-Small Cell Lung,Atezolizumab,PD-L1,Yes
