nct,author,year,pubmed_id,trial_name,cancer_type,ici_name,ici_class,therapy_type
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Ipilimumab,CTLA-4,Combination
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Ipilimumab,CTLA-4,Combination
NCT01673867,Borghaei  H et al,2015,26412456,Checkmate 057,Non-Small Cell Lung,Nivolumab,PD1,Monotherapy
NCT01642004,Brahmer J et al,2015,26028407,Checkmate 017,Non-Small Cell Lung,Nivolumab,PD1,Monotherapy
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,PD1,Monotherapy
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,PD1,Monotherapy
NCT02041533,Carbone DP et al,2017,28636851,Checkmate 026,Non-Small Cell Lung,Nivolumab,PD1,Monotherapy
NCT01285609,Govindan R et al,2017,28854067,,Non-Small Cell Lung,Ipilimumab,CTLA-4,Combination
NCT02039674,Langer JC et al,2016,27745820,Keynote-021,Non-Small Cell Lung,Pembrolizumab,PD1,Combination
NCT02039674,Borghaei  H et al,2018,30138764,Keynote-021,Non-Small Cell Lung,Pembrolizumab,PD1,Combination
NCT02578680,Gandhi L et al,2018,29658856,Keynote-189,Non-Small Cell Lung,Pembrolizumab,PD1,Combination
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab,PD1,Monotherapy
NCT02477826,Hellmann MD et al (1),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,PD1,Monotherapy
NCT02477826,Hellmann MD et al (2),2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab,PD1,Combination
NCT02220894,Mok TSK et al,2019,30955977,Keynote-042,Non-Small Cell Lung,Pembrolizumab,PD1,Monotherapy
NCT02142738,Reck M et al,2019,30620668,Keynote-024,Non-Small Cell Lung,Pembrolizumab,PD1,Monotherapy
NCT02613507,Wu YL et al,2019,30659987,Checkmate 078,Non-Small Cell Lung,Nivolumab,PD1,Monotherapy
NCT02352948,Planchard D et al (1),2020,32201234,ARCTIC,Non-Small Cell Lung,Tremelimumab,CTLA-4,Monotherapy
NCT02574598,Arrieta O et al,2020,32271354,PROLUNG,Non-Small Cell Lung,Pembrolizumab,PD1,Combination
NCT02142738,Reck M et al,2016,27718847,Keynote-024,Non-Small Cell Lung,Pembrolizumab,PD1,Monotherapy
