nct,author,year,pubmed_id,cancer_type,ici_name,ici_class
NCT00527735,Lynch TJ et al,2012,22547592,Non-Small Cell Lung,Ipilimumab,CTLA-4
NCT00527735,Lynch TJ et al (1),2012,22547592,Non-Small Cell Lung,Ipilimumab,CTLA-4
NCT00527735,Reck M et al,2012,22858559,Small Cell Lung,Ipilimumab,CTLA-4
NCT00527735,Reck M et al (1),2012,22858559,Small Cell Lung,Ipilimumab,CTLA-4
NCT01903993,Fehrenbacher L et al,2016,26970723,Non-Small Cell Lung,Atezolizumab,PD-L1
NCT01450761,Reck M et al,2016,27458307,Small Cell Lung,Ipilimumab,CTLA-4
NCT01285609,Govindan R et al,2017,28854067,Non-Small Cell Lung,Ipilimumab,CTLA-4
NCT02125461,Antonia SJ et al,2017,28885881,Non-Small Cell Lung,Durvalumab,PD-L1
NCT02395172,Barlesi F et al,2018,30262187,Non-Small Cell Lung,Atezolizumab,PD-L1
NCT02763579,Horn L et al,2018,30280641,Small Cell Lung,Atezolizumab,PD-L1
NCT02366143,Socinski MA et al,2018,29863955,Non-Small Cell Lung,Atezolizumab,PD-L1
NCT02366143,Socinski MA et al (1),2018,29863955,Non-Small Cell Lung,Atezolizumab,PD-L1
NCT02367781,West H et al,2019,31122901,Non-Small Cell Lung,Atezolizumab,PD-L1
NCT03043872,Paz-Ares L et al,2019,31590988,Small Cell Lung,Durvalumab,PD-L1
NCT02352948,Planchard D et al,2020,32201234,Non-Small Cell Lung,Durvalumab,PD-L1
NCT02352948,Planchard D et al (1),2020,32201234,Non-Small Cell Lung,Tremelimumab,CTLA-4
NCT02453282,Rizvi NA et al,2020,32271377,Non-Small Cell Lung,Durvalumab,PD-L1
NCT02367794,Jotte R et al,2020,32302702,Non-Small Cell Lung,Atezolizumab,PD-L1
NCT02367794,Jotte R et al (1),2020,32302702,Non-Small Cell Lung,Atezolizumab,PD-L1
