nct,author,year,publication_type,other_biomarker_inclusion,cancer_type,primary_endpoint
NCT02041533,Carbone DP et al,2017,Original publication,True,Non-Small Cell Lung,PFS
NCT02039674,Langer JC et al,2016,Original publication,True,Non-Small Cell Lung,ORR
NCT02039674,Borghaei  H et al,2018,Follow-up,True,Non-Small Cell Lung,ORR
NCT02008227,Rittmeyer A et al,2017,Original publication,True,Non-Small Cell Lung,OS
NCT02008227,Fehrenbacher L et al,2018,Follow-up,True,Non-Small Cell Lung,OS
NCT02477826,Hellmann MD et al,2019,Follow-up,True,Non-Small Cell Lung,OS
NCT02477826,Hellmann MD et al (1),2019,Follow-up,True,Non-Small Cell Lung,OS
NCT02477826,Hellmann MD et al (2),2019,Follow-up,True,Non-Small Cell Lung,OS
NCT02453282,Rizvi NA et al,2020,Original publication,True,Non-Small Cell Lung,OS+PFS
NCT02453282,Rizvi NA et al (1),2020,Original publication,True,Non-Small Cell Lung,OS+PFS
NCT02409342,Herbst RS et al.,2020,Original publication,True,Non-Small Cell Lung,OS
NCT03215706,Paz-Ares L et al,2021,Original publication,True,Non-Small Cell Lung,OS
NCT03088540,Sezer A et al,2021,Original publication,True,Non-Small Cell Lung,OS+PFS
