nct,author,year,publication_type,ici_name,trial_phase,cancer_type,trial_name,treatment_regimen
NCT02395172,Barlesi F et al,2018,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,JAVELIN Lung 200,Atezolizumab
NCT02008227,Rittmeyer A et al,2017,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,OAK,Atezolizumab
NCT02008227,Fehrenbacher L et al,2018,Follow-up,Atezolizumab,Phase 3,Non-Small Cell Lung,OAK,Atezolizumab
NCT02366143,Socinski MA et al,2018,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,IMPower150,Atezolizumab+Carboplatin+Paclitaxel
NCT02366143,Socinski MA et al (1),2018,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,IMPower150,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab
NCT02367781,West H et al,2019,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,IMpower130,Atezolizumab+Carboplatin+Nab-paclitaxel
NCT02367794,Jotte R et al,2020,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,IMpower131,Atezolizumab+Carboplatin+Paclitaxel
NCT02367794,Jotte R et al (1),2020,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,IMpower131,Atezolizumab+Carboplatin+Nab-paclitaxel
NCT02409342,Herbst RS et al.,2020,Original publication,Atezolizumab,Phase 3,Non-Small Cell Lung,IMpower110,Atezolizumab
NCT02008227,Mazieres J et al,2020,Follow-up,Atezolizumab,Phase 3,Non-Small Cell Lung,OAK,Atezolizumab
