nct,author,year,publication_type,follow_up_type,cancer_type,follow_up_duration_rx_months,follow_up_duration_control_months
NCT02425891,Schmid P et al,2018,Original publication,Median,Breast,13.0,12.5
NCT01042379,Nanda R et al,2019,Original publication,Median,Breast,33.6,36.0
NCT02425891,Schmid P et al,2019,Follow-up,Median,Breast,18.5,17.5
NCT03036488,Schmid P et al,2020,Original publication,Median,Breast,,
NCT03051659,Tolaney SM et al,2020,Original publication,Median,Breast,,
NCT02819518,Cortes J et al,2020,Original publication,Median,Breast,25.9,26.3
NCT03197935,Mittendorf EA et al,2020,Original publication,Median,Breast,20.6,19.8
NCT02924883,Emens LA et al,2020,Original publication,Median,Breast,8.5,8.4
NCT02299999,Bachelot T et al,2021,Original publication,Median,Breast,,
NCT02555657,Winer PE et al,2021,Original publication,Median,Breast,31.5,
