nct,author,year,pubmed_id,cancer_type,ici_name,ici_class
NCT00527735,Lynch TJ et al,2012,22547592,Non-Small Cell Lung,Ipilimumab,CTLA-4
NCT00527735,Lynch TJ et al (1),2012,22547592,Non-Small Cell Lung,Ipilimumab,CTLA-4
NCT01673867,Borghaei  H et al,2015,26412456,Non-Small Cell Lung,Nivolumab,PD1
NCT01642004,Brahmer J et al,2015,26028407,Non-Small Cell Lung,Nivolumab,PD1
NCT01905657,Herbst RS et al,2016,26712084,Non-Small Cell Lung,Pembrolizumab,PD1
NCT01905657,Herbst RS et al (1),2016,26712084,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02041533,Carbone DP et al,2017,28636851,Non-Small Cell Lung,Nivolumab,PD1
NCT01285609,Govindan R et al,2017,28854067,Non-Small Cell Lung,Ipilimumab,CTLA-4
NCT02039674,Langer JC et al,2016,27745820,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02039674,Borghaei  H et al,2018,30138764,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02578680,Gandhi L et al,2018,29658856,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02477826,Hellmann MD et al (1),2018,29658845,Non-Small Cell Lung,Nivolumab,PD1
NCT02477826,Hellmann MD et al (1),2019,31562796,Non-Small Cell Lung,Nivolumab,PD1
NCT02477826,Hellmann MD et al (2),2019,31562796,Non-Small Cell Lung,Nivolumab,PD1
NCT02220894,Mok TSK et al,2019,30955977,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02142738,Reck M et al,2019,30620668,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02613507,Wu YL et al,2019,30659987,Non-Small Cell Lung,Nivolumab,PD1
NCT02352948,Planchard D et al (1),2020,32201234,Non-Small Cell Lung,Tremelimumab,CTLA-4
NCT02574598,Arrieta O et al,2020,32271354,Non-Small Cell Lung,Pembrolizumab,PD1
NCT02142738,Reck M et al,2016,27718847,Non-Small Cell Lung,Pembrolizumab,PD1
