nct,author,year,pubmed_id,trial_name
NCT02362594,Eggermont AMM et al,2018,29658430,EORTC 1325-MG/KEYNOTE-054
NCT01721746,Larkin J et al,2018,28671856,CheckMate 037
NCT02130466,Ascierto PA et al,2019,31171878,KEYNOTE-022
NCT01721772,Ascierto PA et al,2019,30422243,CheckMate 066
NCT01274338,Tarhini AA et al,2020,31880964,E1609
NCT01274338,Tarhini AA et al (1),2020,31880964,E1609
NCT02523313,Zimmer L et al,2020,32416781,IMMUNED
NCT01721772,Robert C et al,2020,32997575,CheckMate 066
NCT02130466,Ferrucci PF et al,2020,33361337,KEYNOTE-022
NCT02362594,Eggermont AMM et al,2020,32946353,EORTC 1325-MG/KEYNOTE-054
