nct,author,year,publication_type,ici_class,cancer_type,treatment_regimen,trial_phase
NCT02362594,Eggermont AMM et al,2018,Original publication,PD1,Melanoma,Pembrolizumab,Phase 3
NCT01721746,Larkin J et al,2018,Follow-up,PD1,Melanoma,Nivolumab,Phase 3
NCT02130466,Ascierto PA et al,2019,Original publication,PD1,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Phase 2
NCT01721772,Ascierto PA et al,2019,Follow-up,PD1,Melanoma,Nivolumab,Phase 3
NCT01274338,Tarhini AA et al,2020,Original publication,CTLA-4,Melanoma,Ipilimumab,Phase 3
NCT01274338,Tarhini AA et al (1),2020,Original publication,CTLA-4,Melanoma,Ipilimumab,Phase 3
NCT02523313,Zimmer L et al,2020,Original publication,PD1,Melanoma,Nivolumab,Phase 2
NCT01721772,Robert C et al,2020,Follow-up,PD1,Melanoma,Nivolumab,Phase 3
NCT02130466,Ferrucci PF et al,2020,Original publication,PD1,Melanoma,Pembrolizumab+Dabrafenib+Trametinib,Phase 2
NCT02362594,Eggermont AMM et al,2020,Follow-up,PD1,Melanoma,Pembrolizumab,Phase 3
