NCT,Authors,Year,PMID,Trial name,Cancer type,Treatment regimen,treatment_summary
NCT02302807,Powles T et al,2018,29268948,IMvigor211,Bladder,Atezolizumab,Atezolizumab monotherapy for bladder cancer.
NCT02256436,Bellmunt J et al,2017,28212060,Keynote-045,Bladder,Pembrolizumab,Pembrolizumab monotherapy for bladder cancer. 
NCT02256436,Fradet Y et al,2019,31050707,Keynote-045,Bladder,Pembrolizumab,Pembrolizumab monotherapy for bladder cancer.
NCT02425891,Schmid P et al,2018,30345906,IMpassion130,Breast,Atezolizumab+Nab-paclitaxel,Atezolizumab plus Nab-paclitaxel combination therapy for breast cancer
NCT02685059,Loibl S et al,2019,31095287,GeparNuevo,Breast,Durvalumab+Nab-paclitaxel+epirubicin+cyclophosphamide,"Durvalumab, Nab-paclitaxel, epirubicin, and cyclophosphamide for breast cancer."
NCT02788279,Eng C et al,2019,31003911,IMblaze130,Colorectal,Atezolizumab+Cobimetinib,Atezolizumab plus Cobimetinib combination therapy for Colorectal cancer.
NCT02788279,Eng C et al,2019,31003911,IMblaze130,Colorectal,Atezolizumab+Cobimetinib,Atezolizumab monotherapy for colorectal cancer.
NCT02788279,Eng C et al (1),2019,31003911,IMblaze130,Colorectal,Atezolizumab,Atezolizumab plus Cobimetinib combination therapy for Colorectal cancer.
NCT02788279,Eng C et al (1),2019,31003911,IMblaze130,Colorectal,Atezolizumab,Atezolizumab monotherapy for colorectal cancer.
NCT01585987,Bang YJ et al,2017,28655793,,Gastric/GEJ,Ipilimumab,Ipilimumab monotherapy for Gastric/GEJ cancer.
NCT02267343,Kang YK et al,2017,28993052,ATTRACTION-2,Gastric/GEJ,Nivolumab,Nivolumab monotherapy for Gastric/GEJ cancer (ATTRACTION-2 trial).
NCT02625623,Bang YJ et al,2018,30052729,JAVELIN Gastric 300,Gastric/GEJ,Avelumab,Avelumab monotherapy for gastric/GEJ cancer after prior chemotherapy.
NCT02370498,Shitara K et al,2018,29880231,Keynote-061,Gastric/GEJ,Pembrolizumab,Pembrolizumab monotherapy for Gastric/GEJ cancer in Keynote-061 trial.
NCT02252042,Cohen EEW et al,2018,30509740,KEYNOTE-040,Head and Neck ,Pembrolizumab,Pembrolizumab monotherapy for recurrent or metastatic head and neck cancer.
NCT02105636,Ferris RL et al,2016,27718784,CheckMate 141,Head and Neck,Nivolumab,Nivolumab monotherapy for recurrent or metastatic head and neck cancer.
NCT02105636,Ferris RL et al,2018,29884413,CheckMate 141,Head and Neck,Nivolumab,Nivolumab monotherapy for recurrent or metastatic head and neck cancer.
NCT01668784,Motzer RJ et al,2015,26406148,CheckMate 025,Renal cell,Nivolumab,Nivolumab monotherapy for renal cell carcinoma in CheckMate 025.
NCT01984242,McDermott DF et al,2018,29867230,IMmotion150,Renal cell,Atezolizumab,Atezolizumab monotherapy for renal cell carcinoma
NCT01984242,McDermott DF et al,2018,29867230,IMmotion150,Renal cell,Atezolizumab,Atezolizumab and Bevacizumab combination therapy for Renal Cell Carcinoma.
NCT01984242,McDermott DF et al (1),2018,29867230,IMmotion150,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab monotherapy for renal cell carcinoma
NCT01984242,McDermott DF et al (1),2018,29867230,IMmotion150,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab and Bevacizumab combination therapy for Renal Cell Carcinoma.
NCT02231749,Motzer RJ et al,2018,29562145,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for renal cell carcinoma.
NCT02231749,Motzer RJ et al,2019,31427204,CheckMate 214,Renal cell,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for renal cell carcinoma.
NCT02684006,Motzer RJ et al,2019,30779531,JAVELIN Renal 101,Renal cell,Avelumab+Axitinib,Avelumab plus Axitinib combination therapy for renal cell carcinoma.
NCT02853331,Rini BI et al,2019,30779529,KEYNOTE-426,Renal cell,Pembrolizumab+Axitinib,Pembrolizumab and Axitinib combination therapy for renal cell carcinoma.
NCT02420821,Rini BI et al,2019,31079938,IMmotion151,Renal cell,Atezolizumab+Bevacizumab,Atezolizumab and Bevacizumab combination therapy for renal cell carcinoma.
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,"Concurrent ipilimumab, paclitaxel, and carboplatin chemotherapy for non-small cell lung cancer."
NCT00527735,Lynch TJ et al,2012,22547592,,Non-Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Phased ipilimumab plus paclitaxel and carboplatin chemotherapy for lung cancer.
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,"Concurrent ipilimumab, paclitaxel, and carboplatin chemotherapy for non-small cell lung cancer."
NCT00527735,Lynch TJ et al (1),2012,22547592,,Non-Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Phased ipilimumab plus paclitaxel and carboplatin chemotherapy for lung cancer.
NCT00527735,Reck M et al,2012,22858559,,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,"Concurrent ipilimumab, paclitaxel, and carboplatin for small cell lung cancer"
NCT00527735,Reck M et al,2012,22858559,,Small Cell Lung,Concurrent ipilimumab+Paclitaxel+Carboplatin,Phased ipilimumab with paclitaxel and carboplatin for small cell lung.
NCT00527735,Reck M et al (1),2012,22858559,,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,"Concurrent ipilimumab, paclitaxel, and carboplatin for small cell lung cancer"
NCT00527735,Reck M et al (1),2012,22858559,,Small Cell Lung,Phased ipilimumab+Paclitaxel+Carboplatin,Phased ipilimumab with paclitaxel and carboplatin for small cell lung.
NCT01673867,Borghaei  H et al,2015,26412456,Checkmate 057,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer (Checkmate 057)
NCT01642004,Brahmer J et al,2015,26028407,Checkmate 017,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for non-small cell lung cancer (NSCLC)
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for non-small cell lung cancer.
NCT01905657,Herbst RS et al,2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for non-small cell lung cancer
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for non-small cell lung cancer.
NCT01905657,Herbst RS et al (1),2016,26712084,Keynote-010,Non-Small Cell Lung,Pembrolizumab,Pembrolizumab monotherapy for non-small cell lung cancer
NCT01903993,Fehrenbacher L et al,2016,26970723,POPLAR,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for Non-Small Cell Lung Cancer (NSCLC)
NCT01450761,Reck M et al,2016,27458307,CA184-156,Small Cell Lung,Ipilimumab+Etoposide+Platinum agent,Ipilimumab plus etoposide and platinum agent chemotherapy for SCLC.
NCT02041533,Carbone DP et al,2017,28636851,Checkmate 026,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer (NSCLC)
NCT01285609,Govindan R et al,2017,28854067,,Non-Small Cell Lung,Ipilimumab+Paclitaxel+Carboplatin,"Ipilimumab, Paclitaxel, and Carboplatin combination therapy for Non-Small Cell Lung."
NCT02125461,Antonia SJ et al,2017,28885881,PACIFIC,Non-Small Cell Lung,Durvalumab,Durvalumab monotherapy for non-small cell lung cancer (NSCLC).
NCT02125461,Antonia SJ et al,2018,30280658,PACIFIC,Non-Small Cell Lung,Durvalumab,Durvalumab maintenance therapy after chemoradiation for Non-Small Cell Lung Cancer
NCT02395172,Barlesi F et al,2018,30262187,JAVELIN Lung 200,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for Non-Small Cell Lung Cancer (NSCLC).
NCT02039674,Langer JC et al,2016,27745820,Keynote-021,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,Pembrolizumab plus pemetrexed and carboplatin combination therapy for lung cancer.
NCT02039674,Borghaei  H et al,2018,30138764,Keynote-021,Non-Small Cell Lung,Pembrolizumab+Pemetrexed+Carboplatin,"Pembrolizumab, Pemetrexed, and Carboplatin combination therapy for NSCLC"
NCT02008227,Rittmeyer A et al,2017,27979383,OAK,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for Non-Small Cell Lung Cancer
NCT02008227,Fehrenbacher L et al,2018,29777823,OAK,Non-Small Cell Lung,Atezolizumab,Atezolizumab monotherapy for non-small cell lung cancer
NCT02578680,Gandhi L et al,2018,29658856,Keynote-189,Non-Small Cell Lung,Pembrolizumab+Platinum agent,Pembrolizumab plus platinum-based chemotherapy for non-small cell lung cancer.
NCT02763579,Horn L et al,2018,30280641,IMPower 133,Small Cell Lung,Atezolizumab+Etoposide+Carboplatin,Atezolizumab plus Etoposide and Carboplatin for Small Cell Lung Cancer
NCT02775435,Paz-Ares L et al,2018,30280635,Keynote-407,Non-Small Cell Lung,Pembrolizumab+Carboplatin+Paclitaxel/nab-paclitaxel,Pembrolizumab plus Carboplatin and Paclitaxel/nab-paclitaxel for Non-Small Cell Lung
NCT02366143,Socinski MA et al,2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,"Atezolizumab, carboplatin, and paclitaxel combination therapy for non-small cell lung cancer."
NCT02366143,Socinski MA et al,2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel,"Atezolizumab, Carboplatin, Paclitaxel, and Bevacizumab combination therapy for NSCLC"
NCT02366143,Socinski MA et al (1),2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,"Atezolizumab, carboplatin, and paclitaxel combination therapy for non-small cell lung cancer."
NCT02366143,Socinski MA et al (1),2018,29863955,IMPower150,Non-Small Cell Lung,Atezolizumab+Carboplatin+Paclitaxel+Bevacizumab,"Atezolizumab, Carboplatin, Paclitaxel, and Bevacizumab combination therapy for NSCLC"
NCT02477826,Hellmann MD et al,2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for Non-Small Cell Lung Cancer
NCT02477826,Hellmann MD et al,2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab,Nivolumab plus Ipilimumab combination immunotherapy for Non-Small Cell Lung Cancer
NCT02477826,Hellmann MD et al (1),2018,29658845,Checkmate 227,Non-Small Cell Lung,Nivolumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab plus Ipilimumab combination immunotherapy for Non-Small Cell Lung Cancer.
NCT02477826,Hellmann MD et al,2019,31562796,Checkmate 227,Non-Small Cell Lung,Nivolumab+Ipilimumab,Nivolumab monotherapy for Non-Small Cell Lung Cancer (NSCLC).
