NCT,PMID,foo,Authors,Year
NCT02302807,29268948,bar,Powles T et al,2018
NCT02256436,28212060,bar,Bellmunt J et al,2017
NCT02256436,28212060,bar,Fradet Y et al,2019
NCT02256436,31050707,bar,Bellmunt J et al,2017
NCT02256436,31050707,bar,Fradet Y et al,2019
NCT02425891,30345906,bar,Schmid P et al,2018
NCT02425891,30345906,bar,Schmid P et al,2019
NCT02685059,31095287,bar,Loibl S et al,2019
NCT02788279,31003911,bar,Eng C et al,2019
NCT02788279,31003911,bar,Eng C et al (1),2019
NCT02788279,31003911,bar,Eng C et al,2019
NCT02788279,31003911,bar,Eng C et al (1),2019
NCT01585987,28655793,bar,Bang YJ et al,2017
NCT02267343,28993052,bar,Kang YK et al,2017
NCT02267343,28993052,bar,Chen LT et al,2019
NCT02625623,30052729,bar,Bang YJ et al,2018
NCT02370498,29880231,bar,Shitara K et al,2018
NCT02252042,30509740,bar,Cohen EEW et al,2018
NCT02105636,27718784,bar,Ferris RL et al,2016
NCT02105636,27718784,bar,Ferris RL et al,2018
NCT02105636,29884413,bar,Ferris RL et al,2016
NCT02105636,29884413,bar,Ferris RL et al,2018
NCT01668784,26406148,bar,Motzer RJ et al,2015
NCT01668784,26406148,bar,Motzer RJ et al,2020
NCT01984242,29867230,bar,McDermott DF et al,2018
NCT01984242,29867230,bar,McDermott DF et al (1),2018
NCT01984242,29867230,bar,McDermott DF et al,2018
NCT01984242,29867230,bar,McDermott DF et al (1),2018
NCT02231749,29562145,bar,Motzer RJ et al,2018
NCT02231749,29562145,bar,Motzer RJ et al,2019
NCT02231749,29562145,bar,Motzer RJ et al,2020
NCT02231749,31427204,bar,Motzer RJ et al,2018
NCT02231749,31427204,bar,Motzer RJ et al,2019
NCT02231749,31427204,bar,Motzer RJ et al,2020
NCT02684006,30779531,bar,Motzer RJ et al,2019
NCT02684006,30779531,bar,Choueiri TK et al,2020
NCT02853331,30779529,bar,Rini BI et al,2019
NCT02853331,30779529,bar,Powles T et al. ,2020
NCT02420821,31079938,bar,Rini BI et al,2019
NCT00527735,22547592,bar,Lynch TJ et al,2012
NCT00527735,22547592,bar,Lynch TJ et al (1),2012
NCT00527735,22547592,bar,Reck M et al,2012
NCT00527735,22547592,bar,Reck M et al (1),2012
NCT00527735,22547592,bar,Lynch TJ et al,2012
NCT00527735,22547592,bar,Lynch TJ et al (1),2012
NCT00527735,22547592,bar,Reck M et al,2012
NCT00527735,22547592,bar,Reck M et al (1),2012
NCT00527735,22858559,bar,Lynch TJ et al,2012
NCT00527735,22858559,bar,Lynch TJ et al (1),2012
NCT00527735,22858559,bar,Reck M et al,2012
