NCT,PMID,trial_phase_number,Authors,Year
NCT02302807,29268948,3,Powles T et al,2018
NCT02256436,28212060,3,Bellmunt J et al,2017
NCT02256436,28212060,3,Fradet Y et al,2019
NCT02256436,31050707,3,Bellmunt J et al,2017
NCT02256436,31050707,3,Fradet Y et al,2019
NCT02425891,30345906,3,Schmid P et al,2018
NCT02425891,30345906,3,Schmid P et al,2019
NCT02685059,31095287,2,Loibl S et al,2019
NCT02788279,31003911,3,Eng C et al,2019
NCT02788279,31003911,3,Eng C et al (1),2019
NCT02788279,31003911,3,Eng C et al,2019
NCT02788279,31003911,3,Eng C et al (1),2019
NCT01585987,28655793,2,Bang YJ et al,2017
NCT02267343,28993052,3,Kang YK et al,2017
NCT02267343,28993052,3,Chen LT et al,2019
NCT02625623,30052729,3,Bang YJ et al,2018
NCT02370498,29880231,3,Shitara K et al,2018
NCT02252042,30509740,3,Cohen EEW et al,2018
NCT02105636,27718784,3,Ferris RL et al,2016
NCT02105636,27718784,3,Ferris RL et al,2018
NCT02105636,29884413,3,Ferris RL et al,2016
NCT02105636,29884413,3,Ferris RL et al,2018
NCT01668784,26406148,3,Motzer RJ et al,2015
NCT01668784,26406148,3,Motzer RJ et al,2020
NCT01984242,29867230,2,McDermott DF et al,2018
NCT01984242,29867230,2,McDermott DF et al (1),2018
NCT01984242,29867230,2,McDermott DF et al,2018
NCT01984242,29867230,2,McDermott DF et al (1),2018
NCT02231749,29562145,3,Motzer RJ et al,2018
NCT02231749,29562145,3,Motzer RJ et al,2019
NCT02231749,29562145,3,Motzer RJ et al,2020
NCT02231749,31427204,3,Motzer RJ et al,2018
NCT02231749,31427204,3,Motzer RJ et al,2019
NCT02231749,31427204,3,Motzer RJ et al,2020
NCT02684006,30779531,3,Motzer RJ et al,2019
NCT02684006,30779531,3,Choueiri TK et al,2020
NCT02853331,30779529,3,Rini BI et al,2019
NCT02853331,30779529,3,Powles T et al. ,2020
NCT02420821,31079938,3,Rini BI et al,2019
NCT00527735,22547592,2,Lynch TJ et al,2012
NCT00527735,22547592,2,Lynch TJ et al (1),2012
NCT00527735,22547592,2,Reck M et al,2012
NCT00527735,22547592,2,Reck M et al (1),2012
NCT00527735,22547592,2,Lynch TJ et al,2012
NCT00527735,22547592,2,Lynch TJ et al (1),2012
NCT00527735,22547592,2,Reck M et al,2012
NCT00527735,22547592,2,Reck M et al (1),2012
NCT00527735,22858559,2,Lynch TJ et al,2012
