NCT,PMID,primary_endpoint_description,primary_endpoint_category,Authors,Year
NCT02302807,29268948,OS,OS,Powles T et al,2018
NCT02256436,28212060,OS+PFS,Other,Bellmunt J et al,2017
NCT02256436,28212060,OS+PFS,Other,Fradet Y et al,2019
NCT02256436,31050707,OS+PFS,Other,Bellmunt J et al,2017
NCT02256436,31050707,OS+PFS,Other,Fradet Y et al,2019
NCT02425891,30345906,OS+PFS,Other,Schmid P et al,2018
NCT02425891,30345906,OS+PFS,Other,Schmid P et al,2019
NCT02685059,31095287,Path CR,Other,Loibl S et al,2019
NCT02788279,31003911,OS,OS,Eng C et al,2019
NCT02788279,31003911,OS,OS,Eng C et al (1),2019
NCT02788279,31003911,OS,OS,Eng C et al,2019
NCT02788279,31003911,OS,OS,Eng C et al (1),2019
NCT01585987,28655793,PFS,PFS,Bang YJ et al,2017
NCT02267343,28993052,OS,OS,Kang YK et al,2017
NCT02267343,28993052,OS,OS,Chen LT et al,2019
NCT02625623,30052729,OS,OS,Bang YJ et al,2018
NCT02370498,29880231,OS+PFS,Other,Shitara K et al,2018
NCT02252042,30509740,OS,OS,Cohen EEW et al,2018
NCT02105636,27718784,OS,OS,Ferris RL et al,2016
NCT02105636,27718784,OS,OS,Ferris RL et al,2018
NCT02105636,29884413,OS,OS,Ferris RL et al,2016
NCT02105636,29884413,OS,OS,Ferris RL et al,2018
NCT01668784,26406148,OS,OS,Motzer RJ et al,2015
NCT01668784,26406148,OS,OS,Motzer RJ et al,2020
NCT01984242,29867230,PFS,PFS,McDermott DF et al,2018
NCT01984242,29867230,PFS,PFS,McDermott DF et al (1),2018
NCT01984242,29867230,PFS,PFS,McDermott DF et al,2018
NCT01984242,29867230,PFS,PFS,McDermott DF et al (1),2018
NCT02231749,29562145,OS+PFS+ORR,Other,Motzer RJ et al,2018
NCT02231749,29562145,OS+PFS+ORR,Other,Motzer RJ et al,2019
NCT02231749,29562145,OS+PFS+ORR,Other,Motzer RJ et al,2020
NCT02231749,31427204,OS+PFS+ORR,Other,Motzer RJ et al,2018
NCT02231749,31427204,OS+PFS+ORR,Other,Motzer RJ et al,2019
NCT02231749,31427204,OS+PFS+ORR,Other,Motzer RJ et al,2020
NCT02684006,30779531,OS+PFS,Other,Motzer RJ et al,2019
NCT02684006,30779531,OS+PFS,Other,Choueiri TK et al,2020
NCT02853331,30779529,OS+PFS,Other,Rini BI et al,2019
NCT02853331,30779529,OS+PFS,Other,Powles T et al. ,2020
NCT02420821,31079938,OS+PFS,Other,Rini BI et al,2019
NCT00527735,22547592,PFS,PFS,Lynch TJ et al,2012
NCT00527735,22547592,PFS,PFS,Lynch TJ et al (1),2012
NCT00527735,22547592,PFS,PFS,Reck M et al,2012
NCT00527735,22547592,PFS,PFS,Reck M et al (1),2012
NCT00527735,22547592,PFS,PFS,Lynch TJ et al,2012
NCT00527735,22547592,PFS,PFS,Lynch TJ et al (1),2012
NCT00527735,22547592,PFS,PFS,Reck M et al,2012
NCT00527735,22547592,PFS,PFS,Reck M et al (1),2012
NCT00527735,22858559,,Other,Lynch TJ et al,2012
NCT00527735,22858559,,Other,Lynch TJ et al (1),2012
