NCT,PMID,num_arms,sample_size,Authors,Year
NCT00527735,22547592,3,204,Lynch TJ et al,2012
NCT00527735,22547592,3,204,Lynch TJ et al (1),2012
NCT00527735,22547592,3,204,Reck M et al,2012
NCT00527735,22547592,3,204,Reck M et al (1),2012
NCT00527735,22547592,3,204,Lynch TJ et al,2012
NCT00527735,22547592,3,204,Lynch TJ et al (1),2012
NCT00527735,22547592,3,204,Reck M et al,2012
NCT00527735,22547592,3,204,Reck M et al (1),2012
NCT00527735,22858559,3,130,Lynch TJ et al,2012
NCT00527735,22858559,3,130,Lynch TJ et al (1),2012
NCT00527735,22858559,3,130,Reck M et al,2012
NCT00527735,22858559,3,130,Reck M et al (1),2012
NCT00527735,22858559,3,130,Lynch TJ et al,2012
NCT00527735,22858559,3,130,Lynch TJ et al (1),2012
NCT00527735,22858559,3,130,Reck M et al,2012
NCT00527735,22858559,3,130,Reck M et al (1),2012
NCT01673867,26412456,2,582,Borghaei  H et al,2015
NCT01642004,26028407,2,272,Brahmer J et al,2015
NCT01905657,26712084,3,1034,Herbst RS et al,2016
NCT01905657,26712084,3,1034,Herbst RS et al (1),2016
NCT01905657,26712084,3,1034,Herbst RS et al,2016
NCT01905657,26712084,3,1034,Herbst RS et al (1),2016
NCT01903993,26970723,2,287,Fehrenbacher L et al,2016
NCT01903993,26970723,2,287,Mazieres J et al,2020
NCT01450761,27458307,2,1132,Reck M et al,2016
NCT02041533,28636851,2,423,Carbone DP et al,2017
NCT01285609,28854067,2,749,Govindan R et al,2017
NCT02125461,28885881,2,713,Antonia SJ et al,2017
NCT02125461,28885881,2,713,Antonia SJ et al,2018
NCT02125461,30280658,2,713,Antonia SJ et al,2017
NCT02125461,30280658,2,713,Antonia SJ et al,2018
NCT02395172,30262187,2,758,Barlesi F et al,2018
NCT02039674,27745820,2,123,Langer JC et al,2016
NCT02039674,27745820,2,123,Borghaei  H et al,2018
NCT02039674,30138764,2,123,Langer JC et al,2016
NCT02039674,30138764,2,123,Borghaei  H et al,2018
NCT02008227,27979383,2,1225,Rittmeyer A et al,2017
NCT02008227,27979383,2,1225,Fehrenbacher L et al,2018
NCT02008227,27979383,2,1225,Mazieres J et al,2020
NCT02008227,29777823,2,1225,Rittmeyer A et al,2017
NCT02008227,29777823,2,1225,Fehrenbacher L et al,2018
NCT02008227,29777823,2,1225,Mazieres J et al,2020
NCT02578680,29658856,2,616,Gandhi L et al,2018
NCT02763579,30280641,2,403,Horn L et al,2018
NCT02763579,30280641,2,403,Mansfield AS et al,2020
NCT02775435,30280635,2,559,Paz-Ares L et al,2018
NCT02366143,29863955,3,1202,Socinski MA et al,2018
NCT02366143,29863955,3,1202,Socinski MA et al (1),2018
NCT02366143,29863955,3,1202,Socinski MA et al,2018
NCT02366143,29863955,3,1202,Socinski MA et al (1),2018
NCT02477826,29658845,3,1739,Hellmann MD et al,2018
NCT02477826,29658845,3,1739,Hellmann MD et al (1),2018
NCT02477826,29658845,3,1739,Hellmann MD et al,2019
NCT02477826,29658845,3,1739,Hellmann MD et al (1),2019
NCT02477826,29658845,3,1739,Hellmann MD et al (2),2019
NCT02477826,29658845,3,1739,Hellmann MD et al,2018
NCT02477826,29658845,3,1739,Hellmann MD et al (1),2018
NCT02477826,29658845,3,1739,Hellmann MD et al,2019
NCT02477826,29658845,3,1739,Hellmann MD et al (1),2019
NCT02477826,29658845,3,1739,Hellmann MD et al (2),2019
NCT02477826,31562796,4,1739,Hellmann MD et al,2018
NCT02477826,31562796,4,1739,Hellmann MD et al (1),2018
NCT02477826,31562796,4,1739,Hellmann MD et al,2019
NCT02477826,31562796,4,1739,Hellmann MD et al (1),2019
NCT02477826,31562796,4,1739,Hellmann MD et al (2),2019
NCT02477826,31562796,4,1739,Hellmann MD et al,2018
NCT02477826,31562796,4,1739,Hellmann MD et al (1),2018
NCT02477826,31562796,4,1739,Hellmann MD et al,2019
NCT02477826,31562796,4,1739,Hellmann MD et al (1),2019
NCT02477826,31562796,4,1739,Hellmann MD et al (2),2019
NCT02477826,31562796,4,1739,Hellmann MD et al,2018
NCT02477826,31562796,4,1739,Hellmann MD et al (1),2018
NCT02477826,31562796,4,1739,Hellmann MD et al,2019
NCT02477826,31562796,4,1739,Hellmann MD et al (1),2019
NCT02477826,31562796,4,1739,Hellmann MD et al (2),2019
NCT02220894,30955977,2,1274,Mok TSK et al,2019
NCT03059667,30664989,2,73,Pujol JL et al,2019
NCT02142738,30620668,2,305,Reck M et al,2019
NCT02142738,30620668,2,305,Reck M et al,2016
NCT02367781,31122901,2,724,West H et al,2019
NCT02613507,30659987,2,504,Wu YL et al,2019
NCT02454933,30763730,2,29,Yang JCH et al,2019
NCT03043872,31590988,3,805,Paz-Ares L et al,2019
NCT03043872,31590988,3,805,Paz-Ares L et al (1),2019
NCT03043872,31590988,3,805,Goldman JW et al,2020
NCT03043872,31590988,3,805,Goldman JW et al (1),2020
NCT03043872,31590988,3,805,Paz-Ares L et al,2019
NCT03043872,31590988,3,805,Paz-Ares L et al (1),2019
NCT03043872,31590988,3,805,Goldman JW et al,2020
NCT03043872,31590988,3,805,Goldman JW et al (1),2020
NCT02763579,31959349,2,403,Horn L et al,2018
NCT02763579,31959349,2,403,Mansfield AS et al,2020
NCT02352948,32201234,4,595,Planchard D et al,2020
NCT02352948,32201234,4,595,Planchard D et al (1),2020
NCT02352948,32201234,4,595,Planchard D et al (2),2020
