NCT,PMID,clinical_setting_normalized,Authors,Year
NCT02302807,29268948,metastatic,Powles T et al,2018
NCT02256436,28212060,metastatic,Bellmunt J et al,2017
NCT02256436,28212060,metastatic,Fradet Y et al,2019
NCT02256436,31050707,metastatic,Bellmunt J et al,2017
NCT02256436,31050707,metastatic,Fradet Y et al,2019
NCT02425891,30345906,metastatic,Schmid P et al,2018
NCT02425891,30345906,metastatic,Schmid P et al,2019
NCT02685059,31095287,neoadjuvant,Loibl S et al,2019
NCT02788279,31003911,metastatic,Eng C et al,2019
NCT02788279,31003911,metastatic,Eng C et al (1),2019
NCT02788279,31003911,metastatic,Eng C et al,2019
NCT02788279,31003911,metastatic,Eng C et al (1),2019
NCT01585987,28655793,metastatic,Bang YJ et al,2017
NCT02267343,28993052,metastatic,Kang YK et al,2017
NCT02267343,28993052,metastatic,Chen LT et al,2019
NCT02625623,30052729,metastatic,Bang YJ et al,2018
NCT02370498,29880231,metastatic,Shitara K et al,2018
NCT02252042,30509740,metastatic,Cohen EEW et al,2018
NCT02105636,27718784,metastatic,Ferris RL et al,2016
NCT02105636,27718784,metastatic,Ferris RL et al,2018
NCT02105636,29884413,metastatic,Ferris RL et al,2016
NCT02105636,29884413,metastatic,Ferris RL et al,2018
NCT01668784,26406148,metastatic,Motzer RJ et al,2015
NCT01668784,26406148,metastatic,Motzer RJ et al,2020
NCT01984242,29867230,metastatic,McDermott DF et al,2018
NCT01984242,29867230,metastatic,McDermott DF et al (1),2018
NCT01984242,29867230,metastatic,McDermott DF et al,2018
NCT01984242,29867230,metastatic,McDermott DF et al (1),2018
NCT02231749,29562145,metastatic,Motzer RJ et al,2018
NCT02231749,29562145,metastatic,Motzer RJ et al,2019
NCT02231749,29562145,metastatic,Motzer RJ et al,2020
NCT02231749,31427204,metastatic,Motzer RJ et al,2018
NCT02231749,31427204,metastatic,Motzer RJ et al,2019
NCT02231749,31427204,metastatic,Motzer RJ et al,2020
NCT02684006,30779531,metastatic,Motzer RJ et al,2019
NCT02684006,30779531,metastatic,Choueiri TK et al,2020
NCT02853331,30779529,metastatic,Rini BI et al,2019
NCT02853331,30779529,metastatic,Powles T et al. ,2020
NCT02420821,31079938,metastatic,Rini BI et al,2019
NCT00527735,22547592,metastatic,Lynch TJ et al,2012
NCT00527735,22547592,metastatic,Lynch TJ et al (1),2012
NCT00527735,22547592,metastatic,Reck M et al,2012
NCT00527735,22547592,metastatic,Reck M et al (1),2012
NCT00527735,22547592,metastatic,Lynch TJ et al,2012
NCT00527735,22547592,metastatic,Lynch TJ et al (1),2012
NCT00527735,22547592,metastatic,Reck M et al,2012
NCT00527735,22547592,metastatic,Reck M et al (1),2012
NCT00527735,22858559,metastatic,Lynch TJ et al,2012
NCT00527735,22858559,metastatic,Lynch TJ et al (1),2012
NCT00527735,22858559,metastatic,Reck M et al,2012
NCT00527735,22858559,metastatic,Reck M et al (1),2012
NCT00527735,22858559,metastatic,Lynch TJ et al,2012
NCT00527735,22858559,metastatic,Lynch TJ et al (1),2012
NCT00527735,22858559,metastatic,Reck M et al,2012
NCT00527735,22858559,metastatic,Reck M et al (1),2012
NCT01673867,26412456,metastatic,Borghaei  H et al,2015
NCT01642004,26028407,metastatic,Brahmer J et al,2015
NCT01905657,26712084,metastatic,Herbst RS et al,2016
NCT01905657,26712084,metastatic,Herbst RS et al (1),2016
NCT01905657,26712084,metastatic,Herbst RS et al,2016
NCT01905657,26712084,metastatic,Herbst RS et al (1),2016
NCT01903993,26970723,metastatic,Fehrenbacher L et al,2016
NCT01903993,26970723,metastatic,Mazieres J et al,2020
NCT01450761,27458307,metastatic,Reck M et al,2016
NCT02041533,28636851,metastatic,Carbone DP et al,2017
NCT01285609,28854067,metastatic,Govindan R et al,2017
NCT02125461,28885881,metastatic,Antonia SJ et al,2017
NCT02125461,28885881,metastatic,Antonia SJ et al,2018
NCT02125461,30280658,metastatic,Antonia SJ et al,2017
NCT02125461,30280658,metastatic,Antonia SJ et al,2018
NCT02395172,30262187,metastatic,Barlesi F et al,2018
NCT02039674,27745820,metastatic,Langer JC et al,2016
NCT02039674,27745820,metastatic,Borghaei  H et al,2018
NCT02039674,30138764,metastatic,Langer JC et al,2016
NCT02039674,30138764,metastatic,Borghaei  H et al,2018
NCT02008227,27979383,metastatic,Rittmeyer A et al,2017
NCT02008227,27979383,metastatic,Fehrenbacher L et al,2018
NCT02008227,27979383,metastatic,Mazieres J et al,2020
NCT02008227,29777823,metastatic,Rittmeyer A et al,2017
NCT02008227,29777823,metastatic,Fehrenbacher L et al,2018
NCT02008227,29777823,metastatic,Mazieres J et al,2020
NCT02578680,29658856,metastatic,Gandhi L et al,2018
NCT02763579,30280641,metastatic,Horn L et al,2018
NCT02763579,30280641,metastatic,Mansfield AS et al,2020
NCT02775435,30280635,metastatic,Paz-Ares L et al,2018
NCT02366143,29863955,metastatic,Socinski MA et al,2018
NCT02366143,29863955,metastatic,Socinski MA et al (1),2018
NCT02366143,29863955,metastatic,Socinski MA et al,2018
NCT02366143,29863955,metastatic,Socinski MA et al (1),2018
NCT02477826,29658845,metastatic,Hellmann MD et al,2018
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2018
NCT02477826,29658845,metastatic,Hellmann MD et al,2019
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2019
NCT02477826,29658845,metastatic,Hellmann MD et al (2),2019
NCT02477826,29658845,metastatic,Hellmann MD et al,2018
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2018
NCT02477826,29658845,metastatic,Hellmann MD et al,2019
NCT02477826,29658845,metastatic,Hellmann MD et al (1),2019
NCT02477826,29658845,metastatic,Hellmann MD et al (2),2019
NCT02477826,31562796,metastatic,Hellmann MD et al,2018
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2018
NCT02477826,31562796,metastatic,Hellmann MD et al,2019
NCT02477826,31562796,metastatic,Hellmann MD et al (1),2019
