NCT,PMID,therapy_type,Authors,Year
NCT01905657,26712084,Unknown,Herbst RS et al,2016
NCT01905657,26712084,Unknown,Herbst RS et al (1),2016
NCT01905657,26712084,Unknown,Herbst RS et al,2016
NCT01905657,26712084,Unknown,Herbst RS et al (1),2016
NCT01903993,26970723,Unknown,Fehrenbacher L et al,2016
NCT01903993,26970723,Unknown,Mazieres J et al,2020
NCT02041533,28636851,Unknown,Carbone DP et al,2017
NCT02039674,27745820,Unknown,Langer JC et al,2016
NCT02039674,27745820,Unknown,Borghaei  H et al,2018
NCT02039674,30138764,Unknown,Langer JC et al,2016
NCT02039674,30138764,Unknown,Borghaei  H et al,2018
NCT02220894,30955977,Unknown,Mok TSK et al,2019
NCT02142738,30620668,Unknown,Reck M et al,2019
NCT02142738,30620668,Unknown,Reck M et al,2016
NCT02369874,32294530,Unknown,Ferris RL et al,2020
NCT02369874,32294530,Unknown,Ferris RL et al (1),2020
NCT02369874,32294530,Unknown,Ferris RL et al,2020
NCT02369874,32294530,Unknown,Ferris RL et al (1),2020
NCT02142738,27718847,Unknown,Reck M et al,2019
NCT02142738,27718847,Unknown,Reck M et al,2016
NCT02494583,32880601,Unknown,Shitara K et al,2020
NCT02494583,32880601,Unknown,Shitara K et al (1),2020
NCT02494583,32880601,Unknown,Shitara K et al,2020
NCT02494583,32880601,Unknown,Shitara K et al (1),2020
NCT02819518,33278935,Unknown,Cortes J et al,2020
NCT02409342,32997907,Unknown,Herbst RS et al.,2020
NCT03088540,33581821,Unknown,Sezer A et al,2021
