NCT,PMID,endpoint_category,Authors,Year
NCT02302807,29268948,OS,Powles T et al,2018
NCT02256436,28212060,Other,Bellmunt J et al,2017
NCT02256436,28212060,Other,Fradet Y et al,2019
NCT02256436,31050707,Other,Bellmunt J et al,2017
NCT02256436,31050707,Other,Fradet Y et al,2019
NCT02425891,30345906,OS,Schmid P et al,2018
NCT02425891,30345906,OS,Schmid P et al,2019
NCT02685059,31095287,Other,Loibl S et al,2019
NCT02788279,31003911,OS,Eng C et al,2019
NCT02788279,31003911,OS,Eng C et al (1),2019
NCT02788279,31003911,OS,Eng C et al,2019
NCT02788279,31003911,OS,Eng C et al (1),2019
NCT01585987,28655793,PFS,Bang YJ et al,2017
NCT02267343,28993052,OS,Kang YK et al,2017
NCT02267343,28993052,OS,Chen LT et al,2019
NCT02625623,30052729,OS,Bang YJ et al,2018
NCT02370498,29880231,Other,Shitara K et al,2018
NCT02252042,30509740,OS,Cohen EEW et al,2018
NCT02105636,27718784,OS,Ferris RL et al,2016
NCT02105636,27718784,OS,Ferris RL et al,2018
NCT02105636,29884413,OS,Ferris RL et al,2016
NCT02105636,29884413,OS,Ferris RL et al,2018
NCT01668784,26406148,OS,Motzer RJ et al,2015
NCT01668784,26406148,OS,Motzer RJ et al,2020
NCT01984242,29867230,PFS,McDermott DF et al,2018
NCT01984242,29867230,PFS,McDermott DF et al (1),2018
NCT01984242,29867230,PFS,McDermott DF et al,2018
NCT01984242,29867230,PFS,McDermott DF et al (1),2018
NCT02231749,29562145,OS,Motzer RJ et al,2018
NCT02231749,29562145,OS,Motzer RJ et al,2019
NCT02231749,29562145,OS,Motzer RJ et al,2020
NCT02231749,31427204,Other,Motzer RJ et al,2018
NCT02231749,31427204,Other,Motzer RJ et al,2019
NCT02231749,31427204,Other,Motzer RJ et al,2020
NCT02684006,30779531,OS,Motzer RJ et al,2019
NCT02684006,30779531,OS,Choueiri TK et al,2020
NCT02853331,30779529,OS,Rini BI et al,2019
NCT02853331,30779529,OS,Powles T et al. ,2020
NCT02420821,31079938,Other,Rini BI et al,2019
NCT00527735,22547592,PFS,Lynch TJ et al,2012
NCT00527735,22547592,PFS,Lynch TJ et al (1),2012
NCT00527735,22547592,PFS,Reck M et al,2012
NCT00527735,22547592,PFS,Reck M et al (1),2012
NCT00527735,22547592,PFS,Lynch TJ et al,2012
NCT00527735,22547592,PFS,Lynch TJ et al (1),2012
NCT00527735,22547592,PFS,Reck M et al,2012
NCT00527735,22547592,PFS,Reck M et al (1),2012
NCT00527735,22858559,Other,Lynch TJ et al,2012
NCT00527735,22858559,Other,Lynch TJ et al (1),2012
NCT00527735,22858559,Other,Reck M et al,2012
NCT00527735,22858559,Other,Reck M et al (1),2012
NCT00527735,22858559,Other,Lynch TJ et al,2012
NCT00527735,22858559,Other,Lynch TJ et al (1),2012
NCT00527735,22858559,Other,Reck M et al,2012
NCT00527735,22858559,Other,Reck M et al (1),2012
NCT01673867,26412456,OS,Borghaei  H et al,2015
NCT01642004,26028407,OS,Brahmer J et al,2015
NCT01905657,26712084,Other,Herbst RS et al,2016
NCT01905657,26712084,Other,Herbst RS et al (1),2016
NCT01905657,26712084,OS,Herbst RS et al,2016
NCT01905657,26712084,OS,Herbst RS et al (1),2016
NCT01903993,26970723,PFS,Fehrenbacher L et al,2016
NCT01903993,26970723,PFS,Mazieres J et al,2020
NCT01450761,27458307,OS,Reck M et al,2016
NCT02041533,28636851,PFS,Carbone DP et al,2017
NCT01285609,28854067,OS,Govindan R et al,2017
NCT02125461,28885881,OS,Antonia SJ et al,2017
