NCT,target,response,efficacy,Authors,Year,PMID
NCT02302807,PD-L1,ORR,"Treatment demonstrated improved overall survival (OS) and investigator-assessed RECIST v1.1 ORR, PFS, and DoR.",Powles T et al,2018,29268948
NCT02256436,PD-1,OS+PFS,positive,Bellmunt J et al,2017,28212060
NCT02256436,PD-1,OS+PFS,positive,Fradet Y et al,2019,31050707
NCT02256436,PD-1,OS+PFS,Treatment demonstrated efficacy based on improvements in OS and PFS,Bellmunt J et al,2017,28212060
NCT02256436,PD-1,OS+PFS,Treatment demonstrated efficacy based on improvements in OS and PFS,Fradet Y et al,2019,31050707
NCT02256436,PD-1,ORR,positive,Bellmunt J et al,2017,28212060
NCT02256436,PD-1,ORR,positive,Fradet Y et al,2019,31050707
NCT02256436,PD-1,ORR,Treatment demonstrated efficacy based on improvements in OS and PFS,Bellmunt J et al,2017,28212060
NCT02256436,PD-1,ORR,Treatment demonstrated efficacy based on improvements in OS and PFS,Fradet Y et al,2019,31050707
NCT02425891,PD-L1,ORR,"Treatment showed positive results in both primary (OS+PFS) and secondary endpoints (ORR, DoR).",Schmid P et al,2018,30345906
NCT02425891,PD-L1,ORR,"Treatment showed positive results in both primary (OS+PFS) and secondary endpoints (ORR, DoR).",Schmid P et al,2019,31786121
NCT02425891,PD-L1,ORR,likely beneficial,Schmid P et al,2018,30345906
NCT02425891,PD-L1,ORR,likely beneficial,Schmid P et al,2019,31786121
NCT02685059,PD-L1,Path CR,Path CR and response rate improvements,Loibl S et al,2019,31095287
NCT02788279,PD-L1,ORR,likely effective,Eng C et al,2019,31003911
NCT02788279,PD-L1,ORR,likely effective,Eng C et al (1),2019,31003911
NCT02788279,PD-L1,ORR,positive,Eng C et al,2019,31003911
NCT02788279,PD-L1,ORR,positive,Eng C et al (1),2019,31003911
NCT02788279,PD-L1,ORR,likely effective,Eng C et al,2019,31003911
NCT02788279,PD-L1,ORR,likely effective,Eng C et al (1),2019,31003911
NCT02788279,PD-L1,ORR,positive,Eng C et al,2019,31003911
NCT02788279,PD-L1,ORR,positive,Eng C et al (1),2019,31003911
NCT01585987,CTLA-4,immune-related best overall response rate,effective,Bang YJ et al,2017,28655793
NCT02267343,PD-1,ORR,"Treatment showed improvement in OS, PFS, and ORR, indicating the treatment was effective.",Kang YK et al,2017,28993052
NCT02267343,PD-1,ORR,"Treatment showed improvement in OS, PFS, and ORR, indicating the treatment was effective.",Chen LT et al,2019,31863227
NCT02267343,PD-1,ORR,effective,Kang YK et al,2017,28993052
NCT02267343,PD-1,ORR,effective,Chen LT et al,2019,31863227
NCT02625623,PD-L1,ORR,"OS, PFS, ORR",Bang YJ et al,2018,30052729
NCT02370498,PD-1,OS+PFS,positive,Shitara K et al,2018,29880231
NCT02252042,PD-1,ORR,OS,Cohen EEW et al,2018,30509740
NCT02105636,PD-1,ORR,"Treatment showed improved overall survival (OS) and progression-free survival (PFS), and objective response rate (ORR)",Ferris RL et al,2016,27718784
NCT02105636,PD-1,ORR,"Treatment showed improved overall survival (OS) and progression-free survival (PFS), and objective response rate (ORR)",Ferris RL et al,2018,29884413
NCT02105636,PD-1,ORR,"Treatment demonstrated effectiveness based on Overall Survival (OS), Progression-Free Survival (PFS), and Overall Response Rate (ORR).",Ferris RL et al,2016,27718784
NCT02105636,PD-1,ORR,"Treatment demonstrated effectiveness based on Overall Survival (OS), Progression-Free Survival (PFS), and Overall Response Rate (ORR).",Ferris RL et al,2018,29884413
NCT02105636,PD-1,ORR,"Treatment showed improved overall survival (OS) and progression-free survival (PFS), and objective response rate (ORR)",Ferris RL et al,2016,27718784
NCT02105636,PD-1,ORR,"Treatment showed improved overall survival (OS) and progression-free survival (PFS), and objective response rate (ORR)",Ferris RL et al,2018,29884413
NCT02105636,PD-1,ORR,"Treatment demonstrated effectiveness based on Overall Survival (OS), Progression-Free Survival (PFS), and Overall Response Rate (ORR).",Ferris RL et al,2016,27718784
NCT02105636,PD-1,ORR,"Treatment demonstrated effectiveness based on Overall Survival (OS), Progression-Free Survival (PFS), and Overall Response Rate (ORR).",Ferris RL et al,2018,29884413
NCT01668784,PD-1,ORR,Effective,Motzer RJ et al,2015,26406148
NCT01668784,PD-1,ORR,Effective,Motzer RJ et al,2020,32673417
NCT01668784,PD-1,ORR,positive,Motzer RJ et al,2015,26406148
NCT01668784,PD-1,ORR,positive,Motzer RJ et al,2020,32673417
NCT01984242,PD-L1,PFS,"PFS, ORR, DOR, OS",McDermott DF et al,2018,29867230
NCT01984242,PD-L1,PFS,"PFS, ORR, DOR, OS",McDermott DF et al (1),2018,29867230
NCT01984242,PD-L1,PFS,positive,McDermott DF et al,2018,29867230
NCT01984242,PD-L1,PFS,positive,McDermott DF et al (1),2018,29867230
NCT01984242,VEGF,PFS,"PFS, ORR, DOR, OS",McDermott DF et al,2018,29867230
NCT01984242,VEGF,PFS,"PFS, ORR, DOR, OS",McDermott DF et al (1),2018,29867230
NCT01984242,VEGF,PFS,positive,McDermott DF et al,2018,29867230
NCT01984242,VEGF,PFS,positive,McDermott DF et al (1),2018,29867230
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2019,31427204
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,positive,Motzer RJ et al,2020,32661118
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2018,29562145
NCT02231749,PD-1/CTLA-4,OS+PFS+ORR,High,Motzer RJ et al,2019,31427204
