NCT,PMID,treatment_category,Authors,Year
NCT02302807,29268948,immunotherapy,Powles T et al,2018
NCT02256436,28212060,immunotherapy,Bellmunt J et al,2017
NCT02256436,28212060,immunotherapy,Fradet Y et al,2019
NCT02256436,31050707,immunotherapy,Bellmunt J et al,2017
NCT02256436,31050707,immunotherapy,Fradet Y et al,2019
NCT02425891,30345906,immunotherapy,Schmid P et al,2018
NCT02425891,30345906,immunotherapy,Schmid P et al,2019
NCT02685059,31095287,immunotherapy,Loibl S et al,2019
NCT02788279,31003911,immunotherapy,Eng C et al,2019
NCT02788279,31003911,immunotherapy,Eng C et al (1),2019
NCT02788279,31003911,immunotherapy,Eng C et al,2019
NCT02788279,31003911,immunotherapy,Eng C et al (1),2019
NCT01585987,28655793,immunotherapy,Bang YJ et al,2017
NCT02267343,28993052,immunotherapy,Kang YK et al,2017
NCT02267343,28993052,immunotherapy,Chen LT et al,2019
NCT02625623,30052729,immunotherapy,Bang YJ et al,2018
NCT02370498,29880231,immunotherapy,Shitara K et al,2018
NCT02252042,30509740,immunotherapy,Cohen EEW et al,2018
NCT02105636,27718784,immunotherapy,Ferris RL et al,2016
NCT02105636,27718784,immunotherapy,Ferris RL et al,2018
NCT02105636,29884413,immunotherapy,Ferris RL et al,2016
NCT02105636,29884413,immunotherapy,Ferris RL et al,2018
NCT01668784,26406148,immunotherapy,Motzer RJ et al,2015
NCT01668784,26406148,immunotherapy,Motzer RJ et al,2020
NCT01984242,29867230,immunotherapy,McDermott DF et al,2018
NCT01984242,29867230,immunotherapy,McDermott DF et al (1),2018
NCT01984242,29867230,immunotherapy,McDermott DF et al,2018
NCT01984242,29867230,immunotherapy,McDermott DF et al (1),2018
NCT02231749,29562145,immunotherapy,Motzer RJ et al,2018
NCT02231749,29562145,immunotherapy,Motzer RJ et al,2019
NCT02231749,29562145,immunotherapy,Motzer RJ et al,2020
NCT02231749,31427204,immunotherapy,Motzer RJ et al,2018
NCT02231749,31427204,immunotherapy,Motzer RJ et al,2019
NCT02231749,31427204,immunotherapy,Motzer RJ et al,2020
NCT02684006,30779531,immunotherapy,Motzer RJ et al,2019
NCT02684006,30779531,immunotherapy,Choueiri TK et al,2020
NCT02853331,30779529,immunotherapy,Rini BI et al,2019
NCT02853331,30779529,immunotherapy,Powles T et al. ,2020
NCT02420821,31079938,immunotherapy,Rini BI et al,2019
NCT00527735,22547592,combination,Lynch TJ et al,2012
NCT00527735,22547592,combination,Lynch TJ et al (1),2012
