NCT,PMID,pdl1_inclusion,other_biomarker_inclusion,Authors,Year
NCT02302807,29268948,NO,NO,Powles T et al,2018
NCT02256436,28212060,NO,NO,Bellmunt J et al,2017
NCT02256436,28212060,NO,NO,Fradet Y et al,2019
NCT02256436,31050707,NO,NO,Bellmunt J et al,2017
NCT02256436,31050707,NO,NO,Fradet Y et al,2019
NCT02425891,30345906,NO,NO,Schmid P et al,2018
NCT02425891,30345906,NO,NO,Schmid P et al,2019
NCT02685059,31095287,NO,NO,Loibl S et al,2019
NCT02788279,31003911,NO,NO,Eng C et al,2019
NCT02788279,31003911,NO,NO,Eng C et al (1),2019
NCT02788279,31003911,NO,NO,Eng C et al,2019
NCT02788279,31003911,NO,NO,Eng C et al (1),2019
NCT01585987,28655793,NO,NO,Bang YJ et al,2017
NCT02267343,28993052,NO,NO,Kang YK et al,2017
NCT02267343,28993052,NO,NO,Chen LT et al,2019
NCT02625623,30052729,NO,NO,Bang YJ et al,2018
NCT02370498,29880231,NO,NO,Shitara K et al,2018
NCT02252042,30509740,NO,NO,Cohen EEW et al,2018
NCT02105636,27718784,NO,NO,Ferris RL et al,2016
NCT02105636,27718784,NO,NO,Ferris RL et al,2018
NCT02105636,29884413,NO,NO,Ferris RL et al,2016
NCT02105636,29884413,NO,NO,Ferris RL et al,2018
NCT01668784,26406148,NO,NO,Motzer RJ et al,2015
NCT01668784,26406148,NO,NO,Motzer RJ et al,2020
NCT01984242,29867230,NO,NO,McDermott DF et al,2018
NCT01984242,29867230,NO,NO,McDermott DF et al (1),2018
NCT01984242,29867230,NO,NO,McDermott DF et al,2018
NCT01984242,29867230,NO,NO,McDermott DF et al (1),2018
NCT02231749,29562145,NO,NO,Motzer RJ et al,2018
NCT02231749,29562145,NO,NO,Motzer RJ et al,2019
NCT02231749,29562145,NO,NO,Motzer RJ et al,2020
NCT02231749,31427204,NO,NO,Motzer RJ et al,2018
NCT02231749,31427204,NO,NO,Motzer RJ et al,2019
NCT02231749,31427204,NO,NO,Motzer RJ et al,2020
NCT02684006,30779531,NO,NO,Motzer RJ et al,2019
NCT02684006,30779531,NO,NO,Choueiri TK et al,2020
NCT02853331,30779529,NO,NO,Rini BI et al,2019
NCT02853331,30779529,NO,NO,Powles T et al. ,2020
NCT02420821,31079938,NO,NO,Rini BI et al,2019
NCT00527735,22547592,NO,NO,Lynch TJ et al,2012
NCT00527735,22547592,NO,NO,Lynch TJ et al (1),2012
NCT00527735,22547592,NO,NO,Reck M et al,2012
NCT00527735,22547592,NO,NO,Reck M et al (1),2012
NCT00527735,22547592,NO,NO,Lynch TJ et al,2012
NCT00527735,22547592,NO,NO,Lynch TJ et al (1),2012
NCT00527735,22547592,NO,NO,Reck M et al,2012
NCT00527735,22547592,NO,NO,Reck M et al (1),2012
NCT00527735,22858559,NO,NO,Lynch TJ et al,2012
NCT00527735,22858559,NO,NO,Lynch TJ et al (1),2012
NCT00527735,22858559,NO,NO,Reck M et al,2012
NCT00527735,22858559,NO,NO,Reck M et al (1),2012
NCT00527735,22858559,NO,NO,Lynch TJ et al,2012
NCT00527735,22858559,NO,NO,Lynch TJ et al (1),2012
NCT00527735,22858559,NO,NO,Reck M et al,2012
NCT00527735,22858559,NO,NO,Reck M et al (1),2012
NCT01673867,26412456,NO,NO,Borghaei  H et al,2015
NCT01642004,26028407,NO,NO,Brahmer J et al,2015
NCT01905657,26712084,YES,NO,Herbst RS et al,2016
NCT01905657,26712084,YES,NO,Herbst RS et al (1),2016
NCT01905657,26712084,YES,NO,Herbst RS et al,2016
NCT01905657,26712084,YES,NO,Herbst RS et al (1),2016
NCT01903993,26970723,YES,NO,Fehrenbacher L et al,2016
NCT01903993,26970723,YES,NO,Mazieres J et al,2020
NCT01450761,27458307,NO,NO,Reck M et al,2016
NCT02041533,28636851,YES,YES,Carbone DP et al,2017
NCT01285609,28854067,NO,NO,Govindan R et al,2017
NCT02125461,28885881,NO,NO,Antonia SJ et al,2017
NCT02125461,28885881,NO,NO,Antonia SJ et al,2018
NCT02125461,30280658,NO,NO,Antonia SJ et al,2017
NCT02125461,30280658,NO,NO,Antonia SJ et al,2018
NCT02395172,30262187,NO,NO,Barlesi F et al,2018
NCT02039674,27745820,YES,YES,Langer JC et al,2016
NCT02039674,27745820,YES,YES,Borghaei  H et al,2018
NCT02039674,30138764,YES,YES,Langer JC et al,2016
NCT02039674,30138764,YES,YES,Borghaei  H et al,2018
NCT02008227,27979383,NO,YES,Rittmeyer A et al,2017
NCT02008227,27979383,NO,YES,Fehrenbacher L et al,2018
NCT02008227,27979383,NO,YES,Mazieres J et al,2020
NCT02008227,29777823,NO,YES,Rittmeyer A et al,2017
NCT02008227,29777823,NO,YES,Fehrenbacher L et al,2018
NCT02008227,29777823,NO,YES,Mazieres J et al,2020
NCT02578680,29658856,NO,NO,Gandhi L et al,2018
NCT02763579,30280641,NO,NO,Horn L et al,2018
NCT02763579,30280641,NO,NO,Mansfield AS et al,2020
NCT02775435,30280635,NO,NO,Paz-Ares L et al,2018
NCT02366143,29863955,NO,NO,Socinski MA et al,2018
NCT02366143,29863955,NO,NO,Socinski MA et al (1),2018
NCT02366143,29863955,NO,NO,Socinski MA et al,2018
NCT02366143,29863955,NO,NO,Socinski MA et al (1),2018
NCT02477826,29658845,NO,NO,Hellmann MD et al,2018
NCT02477826,29658845,NO,NO,Hellmann MD et al (1),2018
NCT02477826,29658845,NO,NO,Hellmann MD et al,2019
NCT02477826,29658845,NO,NO,Hellmann MD et al (1),2019
NCT02477826,29658845,NO,NO,Hellmann MD et al (2),2019
